text,source_party,source_name,bias_estimate,model_uncertainity,sentence_id,article_id
What proponents of either extreme have in common is the conviction that the rise of A.I.,Left,the-new-yorker,1,0,0d4e1495-254e-40ef-ab63-45dd246d2a4d,09e2b74a-58ef-445f-8eb8-9fc8537cb5f0
"Lowe had stabbed a person with a butcher knife, and police claim he threatened to throw the knife at them.",Lean Left,fair,1,1,eb5c2ab6-8764-46c0-9de3-a2ec590b73dd,8ed67d7a-4841-4af1-a786-47940bd43cbb
"For stainless steel, consumers can choose from gold, silver or graphite.",Lean Right,fox-business,0,0,b8673898-0a0f-4a69-b79c-314a31ecc5d5,fc44ce38-c883-4047-8b9c-7bcf4aa5a368
"If Kushner is intent on building a firm that lasts for generations, he may have to create more official seats around his table.",Center,fortune,0,1,b3eb3355-7e06-4b23-9e48-c07854fdb1ca,8223f166-13be-4166-a6a6-cebb79644900
"Until quite recently, these sorts of records were totally exempt from disclosure in New York and California, and even now it would take months or years, and possibly a lawsuit, to get departments in those states to hand them over.",Lean Right,reason,0,0,3da05828-8221-4ffb-91c2-8edcb17442d3,8894eaf6-7458-4953-bdbc-bfc5964df2f4
"The American Spectator has been watching this story closely, with a special personal interest.",Right,the-american-spectator,0,0,d44fccc5-3989-425a-a5f7-0314117bf69f,910bab67-1586-450c-b8bb-04ab04b68bc2
Holocaust education remains essential for teaching historical facts in the face of denial and distortions.,Left,the-atlantic,0,0,814470ca-3c3e-4817-b14e-4f8f3134c626,5826c168-9ee6-485b-9ae1-95f9ecd50551
"Carson possesses many of the same qualities that made Mike Pence a strong running mate in 2016: He is calm, reserved, soft-spoken, and carries himself with the aura of an elder statesman in a way that balances perfectly with President Trump’s more bombastic style.",Right,american-greatness,1,0,d8bde379-416b-484d-b4cd-287177bf4e46,33650d33-9d99-46f2-bb50-e53b0631b06d
"The cannabis measure on its own may also drive turnout this November if it qualifies, as past election cycles in other states and localities have shown.",Left,alternet,0,0,010466e0-4c4f-421e-a3fc-a67d80915da9,0bcdd18e-3ea9-4c76-8044-3150b213c506
"If you're in the market for a new treadmill, the Echelon Stride 5s is discounted to $1,350, a savings of $850.",Center,cnet,0,0,984161cb-9c3a-41c2-949d-8dde8f8f7345,5be6eb13-286c-4163-978b-e69f5c7acaf9
"They are those bringing them, we will just be sitting, and they will tell you that they are to buy shea, there is a buyer in, we will not even see the person.",Lean Left,the-conversation,1,1,d734272f-6d2c-415a-b2be-45898f7bdc1d,0e1bf6aa-23c4-4987-b272-14140791f54f
And why would there be such an arrangement if they were never business together?,Right,newsbusters,0,0,4c8bba16-3d20-487a-8148-93768ae3dca0,887d19da-46ab-4620-a3ec-3cd804a13b37
"In 2014, they briefly reunited for an underwhelming performance at Coachella.",Left,the-new-yorker,1,0,62338e0e-0c30-4d55-877d-fe4c10ead495,24302a8f-4b5b-479e-9337-34da482fce9f
"To kick off the fall/winter menswear shows, Gucci presented its first line following Alessandro Michele’s departure.",Left,vogue,0,0,ecd1440c-493f-4304-9ca2-d81189d536f0,9646ec1d-f447-456e-91b7-021add3c8164
"Sure enough, other leading dictionaries’ words of the year are remarkably similar.",Lean Left,the-guardian,0,0,47f965f2-a4de-44cf-a7f7-a2283e98ea8e,3beed8c6-4cad-4fa5-916e-49247de27e86
Haley and her surrogates have brushed off this criticism by saying that she was happy to spend South Carolinians' tax money to create jobs in South Carolina but draws the line at federal bailouts.,Lean Right,reason,0,0,d111eb79-ed87-49c0-8a48-8aaa5263e2b6,578b01dd-a440-45d4-80ad-6ea7d778e3c9
Mr. Braun and prosecutors were in negotiations over a cooperation deal in which he would be let out of prison in exchange for flipping on industry insiders and potentially even wearing a wire.,Left,esquire,0,1,6d25a2f5-290f-4e86-9724-f00f7f4c7537,70b5f7d6-5fad-4eb2-9371-c8da03931bd7
"The public was fed up with the constant testing, the brutal lockdowns and the restrictions on movement.",Lean Left,the-economist,1,0,46801785-d80c-46e2-8847-ca6d2c160a6b,a002a0df-6c99-4308-b4d5-c7cf0d5ca314
"Andrew Lanxon/CNET Photo Gallery 1/1 Andrew Lanxon/CNET Show expert take Show less Show less $485 at MVST Select $485 at MVST Select Stylish and sleek metal suitcase MVST Select Trek Aluminum Suitcase With a hard shell made from aluminum, it's no surprise that the MVST Select Trek suitcase feels extremely sturdy.",Center,cnet,0,0,31703896-e3ff-4064-90ad-63840077985b,a3c85b09-6d5e-4ebe-9853-6ea44c348bc6
"Though no official link between the two has been found, Yamamoto will later mastermind the real Pearl Harbor attack.",Lean Left,usa-today,0,1,a2e6d4f0-8cf5-442f-bce4-a20d4d9f7d58,be98e52e-2033-4aff-b916-2f74913ca6e1
"The program requires the chargers meet a strict set of standards, such as being built at least every 50 miles over major routes, being operational at least 97 percent of the time and featuring credit card readers for easy payment.",Lean Left,politico,0,0,68cad7a8-207c-4112-b99c-f8bb30d0d42b,c0785d5b-6a52-46ab-9bfc-6a809ec0699e
Heidi died from a single shotgun blast to her back that her husband said she suffered as he wrestled with an intruder.,Lean Left,cbs-news,0,0,c30897ae-0e17-4448-9fb5-f49ee04b6be6,cdd93935-44f8-4267-be07-175b1c962e77
"Barrino didn’t hide her emotions after she was introduced with many superlatives by none other than Oprah Winfrey, who co-starred in the 1985 film adaptation of Alice Walker’s novel and is a producer on the remake.",Lean Left,variety,1,1,f2f6f083-642c-4f84-a94e-254eca350921,b1744a63-846f-452f-972a-9ceb13fbde1c
This close attention is aimed at preventing possible confrontation between Rwanda and the DRC.,Lean Left,the-conversation,0,0,25c2f293-9c9d-4066-be33-c0bc8a24c883,606b5fc8-fa9e-4e1d-a02b-e4398703cbad
"In foreign policy, Kissinger accurately reflected America not as it would like itself to be - the idealism of a Woodrow Wilson or a Jimmy Carter - nor as it so can be - blindly vengeful, like George W Bush and Donald Trump - but the kind of nation it is at its best: smart, hard-headed and realistic.",Lean Left,the-independent,1,0,f5988c6d-58a6-487f-8a44-3a4f5aa23541,f0a06754-7043-4b3c-9b61-1bc1ca471611
"A procedural vote for the legislation failed 49-51 along mostly party lines, with 60 votes required to advance the measure.",Lean Right,washington-times,0,0,70cff8d3-5a36-4cf0-b783-cf3d531bb065,232519f6-dda2-423e-96e3-02f77884edec
Like the hundreds of people who rapturously greeted Golda Meir when she arrived on our campus in ‘68 or ‘69.,Left,the-intercept,1,1,496d7ca4-bc3d-480d-ba82-41b822789461,189ea5f3-8270-4c24-b0d1-8b75f7425073
"Getty This Wonka season, the style savant has been vacillating between kaleidoscopic ensembles, shirtless suiting and a great deal of stomping boots that seem more apt for his role in another delayed blockbuster rather.",Left,vogue,1,0,76f5978e-785e-40d8-bbb4-8ff71df836dd,cf86b2b9-4589-450f-b27c-51e0ac113a9c
"This online casino also scores highly when it comes to security, quick withdrawals, and bonuses.",Right,newsmax,0,1,5cd4ca89-b47f-4073-9584-e634614a1725,f263a69e-12a2-4747-a82a-b37a5aaf48eb
"Israel begins warning more than 1 million Palestinians to move to a safer part of the territory, in southern Gaza, as Israeli soldiers prepared what was expected to be a massive ground campaign against Hamas fighters, many of whom are believed to be hiding in a miles-long network of tunnels under residential neighborhoods.",Lean Left,abc-news,0,0,301378cb-fcac-42f6-b280-b136b52f98a4,0d8939cf-9b81-4d28-849b-0f885c9453e1
Finding a good work-life mix can be particularly challenging for ambitious and accomplished people in the workforce - and those who shame co-workers for using Paid Time Off (PTO) don’t make it any easier!,Left,msnbc,1,0,daa8d242-7b65-4860-810d-1fbe36f600f3,53d94acf-0012-468a-9d01-1204e6a1f142
"It was a miracle, an article of faith that you’d better take to heart if you know what’s good for you.",Right,american-thinker,1,1,3b4fee21-9161-4dd9-8709-8206215de679,2e6aff0f-e9eb-4110-8cbc-8d4182e4a732
"And it is why the Left MUST destroy the Founders in the eyes of Americans, MUST destroy our history, MUST reform our entire system.",Right,townhall,1,0,d9ccfebb-2a7f-4d86-9f37-de712b14a6ba,3ca34c34-7d6d-42c2-a55f-c74b24de34a3
The NFL has maybe 14 drives for a team in a game.,Center,wired,0,0,652690d9-8f61-408c-95ec-a88e287abcbe,162c6746-62b4-481c-a729-5add0d13140c
Efforts during the weekend to determine if he had a lawyer were unsuccessful.,Center,baltimore-sun,0,0,1ac499ba-7a3d-4f3c-8279-3c0146d63a98,c5f46284-a380-4bcd-a710-31c540105a80
"Advertisement CHAI’s neo-kawaii mantra of embracing one’s most authentic self struck a chord with their Japanese fans, which they’ve amassed since their debut in 2016.",Left,huffpost,0,0,245627b2-d89a-4069-9339-0a9b80e40440,ee1a449d-4f18-444f-8218-6e3f73609ff8
Iran’s regime has been eager to back terrorist groups Hamas and Hezbollah to destabilize the Palestinian infinite-game conflict with Israel - and its own infinite game with the United States.,Lean Left,usa-today,1,0,abfdacbc-13f8-4f1b-9134-d7b8e98e8e18,e3b3d48b-92cf-4445-97cf-f76cebec22c6
They have been taken to the giddy heights of hope by the invention of drugs that for the first time work on the underlying causes of the illness where previous treatment just alleviated symptoms.,Lean Left,the-guardian,1,1,66164d02-0af7-47c6-b008-3ce5937c1baa,73a729df-4cd1-4ebb-9a12-11ec410e04da
Kamala Harris promises to throw money at the problem: Our own vice president just pledged $3 billion of U.S. taxpayers' hard-earned money to the Green Climate Fund.,Lean Right,reason,1,0,6c79b4e8-6a6b-4009-a610-09ebef1c4983,abb4ad7d-6b75-4028-8114-d15d7e704e86
In Italy’s case it is to send them across the Adriatic Sea to Albania where they will be held until they are processed and potentially sent back to where they came from.,Lean Right,boston-herald,0,0,e618ef13-22f0-4a5b-8905-d4baadc07065,f7025e5d-3f27-4c97-8306-e3ad00382944
"In one test, following young girls would then cause recommendations to steer toward adult-themed content - some of which included accounts that promoted adult content.",Right,fox-news,0,0,1e3aa714-f5aa-4980-bb75-c4c28bd5e459,c9797653-e078-43ba-b696-e06d31627952
The paradox here is that Bundy believes he is upholding the Constitution and fulfilling his religious duties in his acts of lawlessness.,Left,alternet,1,0,8090e225-43e1-46f7-8d6c-cd450186ec72,61f515d7-3ba7-4901-a086-b099f7993c8f
"Allen Park - A couple of weeks after adding a former first-round draft pick to the team's defensive-line mix in Bruce Irvin, the Detroit Lions have found another to address depth concerns along the interior of that unit, agreeing to terms with Tyson Alualu on Tuesday.",Center,detroit-news,0,0,72d03329-0524-4bb5-84c8-fc05195d1cdd,3d0d3014-2a4a-4585-9cce-bceb9e7b9679
"Try Playing Unibet Click Here Steps to Getting Started at PA Online Gambling Sites Here are some simple steps to getting started for the first time at our number one, highest-rated PA online casino - BetRivers online casino & sportsbook.",Right,newsmax,0,0,0b649988-a699-47be-bea0-efaea2219001,fa296f44-4947-49ad-b7d9-9fbba47af0be
"That doesn’t mean terrorists won’t use the U.S. southern border as a way to get terrorists into the country; at the very least, it’s ensconced the cartels as forces to be dealt with thanks to human trafficking.",Right,independent-journal-review,1,0,7a910dab-344e-461c-9b88-c79221d527f2,d62c60ee-7613-4e4f-a067-1a17c9029bab
"Israeli police have been raiding the homes of captives who are about to be released, and literally warning their families that any expressions of joy are verboten.",Left,the-intercept,1,0,706671ae-ddda-4d0a-be1e-c97471b85cef,5efbea95-62df-4585-81fb-aa0eb6b61562
"Instead, Congress should prioritize investing in the best guarantor of peace: American military strength.",Right,fox-news,1,0,f42e0913-a3fa-4750-b030-f3a2779c8918,505ca9e5-efd4-4832-b3d0-9d432b1d4e41
A big fuck you to the Hunger Games for not bringing me back.,Center,wired,1,0,e5bf2d5b-f2bb-4c99-84b7-dda1ebff88cc,4e5da29a-555f-4678-a2c2-dd2fa473e8f6
"There was a great deal of change, however, in the list’s composition.",Left,alternet,0,0,ca2adce8-e9eb-43e7-86c2-a41c661a9be9,25a42c13-84dd-4e50-b54f-96337c62590f
"The liberal church has a sort of performancism about social justice that is very pernicious and self-righteous, and just burns people out.",Lean Right,christianity-today,1,0,b54fe8c2-3ac0-4ec6-9997-7d6ea12a0019,9e4617d8-695c-4392-bec0-3b5fad53b5b1
"But the deadliest attack of 2023 happened in Lewiston, Maine, on 25 October when an army reservist murdered 18 people in a bowling alley and a bar.",Lean Left,the-guardian,0,0,a54b718d-2019-4114-84bf-fc1ee228cd82,4be6eed7-1535-447e-ac7b-ee9f15c71247
"While nodding to the room’s clubby past, Fulk livens things up with gold and greenery.",Lean Right,new-york-post,1,0,d04766f9-f776-4464-b57d-cebbe0851fdc,216e5d26-78d7-4742-ab00-d420c6275114
"In this way, the work of remembering, of holding together the collective experience of trauma, becomes an active practice.",Left,vox,0,0,898ed783-7212-48f5-8fbf-0bbe9132f4fc,d6eef860-4baf-4ea9-b20f-f8733213eee9
"The reality is Saudi Arabia would already be in the Abraham Accords were it not for the Biden administration actually going out of its way to resurrect Iran, hamper Israel, and open the door for mixed signals and commitments from the U.S. to the Saudis.",Lean Right,hotair,1,0,ab52bb81-98cc-4296-ad9e-983582b6949c,e30628a2-16bb-4b58-a2c6-04fb4dd8d99f
"SpaceX is planning a rocket engine production facility near Waco, Musk said on social media Saturday.",Lean Left,usa-today,0,0,3f63cf94-eb1d-4594-a887-a4c7bed19729,44d73fa5-3aff-42c1-bdd0-f44d568b35fd
"Baltimore has ranked near the bottom of the sport in spending during Elias’ tenure, and now that the Orioles are no longer rebuilding, expecting to remain competitive in the AL East with a puny payroll is a perilous pursuit.",Center,baltimore-sun,1,0,ac790d76-c8ae-466e-a313-5d28c0d1cb6a,0fe43a5e-7102-4493-a08e-96b9e6d3d10d
Amanda's hands were never tested-and the gun was never dusted for fingerprints.,Lean Left,cbs-news,0,0,5be6660f-3df6-46e8-911a-e0ec437db468,7fa67f53-4832-42ec-a472-ee10f4af7d81
"Advertisement Those now on the street utter not a peep about the Sudanese Arab mass killers in Darfur, Chinese oppressors of the Muslim Uighurs, Russians targeting civilians in Ukraine, or ISIS, Syrian, and Yemeni murderers of fellow Muslims.",Right,townhall,1,0,b7934f3e-742c-412f-9111-1097650f6308,1112c1a3-ee65-419e-8106-b4c6deade223
"According to Giroux: Trump’s vitriolic and dehumanizing rhetoric has contributed to an unprecedented culture of misinformation and truth-denying that has become so widespread since 2016 that it’s now a central feature of politics and a defining condition of the widespread violence, lawlessness and militarization shaping U.S. society.",Lean Left,truthout,1,0,a01755f3-0ff9-4ecf-92cd-4d93881fc7ef,7b785040-4831-482c-975a-c6714d5db5ea
"As well as the H20, Nvidia is also gearing up to launch two other export-compliant chips called the L20 and L2, Reuters reported.",Center,cnbc,0,0,af26bb1c-6239-453a-a77c-b2cc27b44beb,00ddebf1-6167-4c10-8abf-df245ee5b611
"Adam Driver and any f person in the whole world deserves kindness and respect,"" a third added, according to the Daily Mail.",Right,newsmax,1,1,9d0e4723-1699-486a-aabc-0bf31fb7cfa2,e9a77681-c118-4bd7-a837-2ef79bd7cd6a
"This argument mirrors the wider debate about government intervention, from trade barriers to protect domestic producers to tax incentives for favored industries.",Center,christian-science-monitor,0,1,61e44bb9-b213-4a60-984e-81d4aea5376c,6a6c33a4-6610-4b09-a494-3952e5d4193d
"Sony says it will sell replacement stick modules, and the dualsense edge comes with a braided USB-C cable that features a lock that stops it accidentally detaching, and a carry case for the controller and its accessories.",Lean Left,the-independent,0,0,68b8df03-b2b1-4360-807a-4b2489a7bbae,e027ca5e-729e-41cb-8e8c-3f85dca11268
"But when they do, they should highlight complexities, not hide them.",Lean Left,the-economist,0,0,bfae13bb-936d-4030-8b5b-4b27787bacf3,ee25e227-00ea-43e5-bbf8-2f5c5502407b
"House investigators said Monday that the FBI‘s probe into whether traditional Catholics posed a terrorist threat included interviews with a priest and a church choir director, and involved an undercover agent who infiltrated the church.",Lean Right,washington-times,0,0,f1a32e65-e5f4-495f-bca6-9b8bad039a9a,debbdd03-bd00-4059-af3c-241ea1a89f44
"Republicans have managed to trim spending a bit, given that the debt ceiling deal they negotiated with the White House in May caps discretionary spending for at least two years, resulting in about $250 billion in direct savings and potential spending reductions totaling as much as $2.1 trillion over 10 years, according to a June analysis by the Center for a Responsible Federal Budget, a nonpartisan group that advocates for deficit reduction.",Lean Right,fiscal-times,0,0,8b9ffce9-4778-4e3e-96a2-ad08db62d5ba,ac35e3fb-291d-4575-aec0-a0642f8d8a63
"Whoever loves his brother abides in the light, and in him there is no cause for stumbling.",Lean Right,the-christian-post,0,0,779d5fef-2583-4ec6-87bd-a0156970b9fa,99f48c89-b982-408e-bdce-5159086e339c
"For example, the Sky Glass television is perfect for the age of streaming because it’s a device that comes with Sky’s services and live television inbuilt to save faffing around purchasing services separately.",Lean Left,the-guardian,1,1,29972a9a-d880-48f7-b406-5b2403fab90f,94442f65-e18b-48c3-a69e-53005c95d099
OPEC's scathing statement also comes amid reports that the UAE sought to use the conference as a platform to lobby for oil and gas deals.,Center,cnbc,1,0,cf819c41-992f-4448-bac5-507d35cb50b3,3116fc55-d894-4404-b11f-a1872ddc2d6b
"... Paul is talking about something real and true, something that has already happened.",Lean Right,christianity-today,0,1,dc803a56-cdca-4f43-a6cf-b948ef8bc59c,5ba17f46-78a7-43bc-a3a0-28b1a223b091
"While keeping a 9-volt battery on hand feels weirder than sticking a spare key under a flower pot, it’s definitely more secure, and 9-volt batteries are easier to get ahold of in a pinch.",Lean Left,the-verge,0,0,89c17a31-34e2-4522-bba5-c72002ec9d24,9fd63fb3-b1c3-4e0f-9dfa-bb49cf635962
"Eliza is so deeply impressed (if not entirely swayed) by the dignified, unswerving testimony for the defense by Andrew Bogle, the formerly enslaved longtime manservant of the late Baron Tichborne, that she takes him to tea.",Center,christian-science-monitor,1,1,11b0e60f-42c5-4b86-a94f-ec570ab0ee5b,5950ab94-f566-43fa-bdb5-36fa26835737
"The young CEO is jetlagged from a flight to Paris but appears comfortable over Zoom and eager to talk about Arc, his company's new AI-fortified web browser.",Center,wired,1,0,d9e8e79e-d58d-453d-9e21-113a60da037a,7266a5a4-5e65-4f69-b8e7-70a89d6cdd96
"Mr. Lowden, undoubtedly the most powerful figure in the background of Republican politics, is devoting himself wholly to that agricultural interest which Mr. Coolidge has ignored.",Left,alternet,1,1,a1a44914-b0cb-4b9c-9d3a-7d2945655897,4df64b9b-8438-44f4-b9a8-f0bf50b3d3b3
"They can decide who will come, and likewise, who is not allowed there.",Center,wired,0,0,8d3d2c6e-1ca5-4b24-8de4-bbc058b3eed5,179fb3cc-5d7b-4722-8394-cc600934e8db
It’s not unknown for the left to rejoice in acts of violence that lend brawn to its paper theories and then soul-search when that violence makes the world worse than it was before.,Lean Left,the-guardian,1,0,68a1cb43-63d5-40ac-aedc-884b2a9028dd,7092afe2-4776-477f-8738-02c0392a7bdb
"Gupta allegedly then helped broker a deal for the Indian government official to pay the purported hitman $100,000 for the assassination.",Center,cnbc,1,0,aac064c4-ad6b-415e-ad8d-ddd1b95c19e0,e28e1ffe-71a4-4918-b8f6-c5360595d7eb
"Since the news broke in February 2022 of the acquisition, Microsoft has maintained that Call of Duty will never be an Xbox exclusive title in no uncertain terms.",Lean Left,the-independent,0,0,b835f9bd-d4f8-4a16-80a0-9aec432c32d9,8d5e605c-376c-40ea-82d3-e3f23f060120
"Because of domestic divisions, mixed messages, and political leaders’ ambivalence about the United States’ role in the world, there is significant doubt abroad about American reliability.",Center,foreign-affairs,1,1,546932a9-0c8e-44f4-b4fa-c397cc71b3ae,679faf11-f83a-44f4-8ff3-4ed20c91b179
"It is reminiscent, in fact, of psychohistory, the fictional science in Isaac Asimov’s Foundation novels, where practitioners make forecasts about how large groups of people will behave in the future.",Center,quartz,0,0,47b2b059-15c9-4d9c-9383-4c85d01c20a5,17e8afe0-5cd3-4176-bed4-af82bbc512b7
"They have trouble after this conversation remembering what the conversation was about, but they do have pretty good semantic information.",Center,wired,0,0,40cd02bd-2171-42c0-b5e2-dede0f36eb82,c3b92e3c-7030-45d1-bd9f-2f4ff853cd6a
"The Times has made clear that it thinks these kinds of stories are absolutely important, since they are the ones it has put on its front page-in fact, more important than the stories about attacks on trans people’s rights and existence.",Lean Left,fair,1,1,f47b7cfa-ef0f-491b-a6da-6d1e4101234f,ddc0c56d-6f95-4e69-9139-e6e7b6509670
Her alcoholic father died and missed her wedding. She forgives him anyway.,Lean Left,usa-today,1,0,1fc352c5-90e9-4cd1-87f3-270a284ecda4,f63cefbd-f55f-48c8-892c-cb12dc05e891
"Mr. Biden has reportedly spent nearly 4 in 10 days of his presidency on vacation, according to statistics compiled by the Republican National Committee.",Lean Right,washington-times,0,0,4df7c70e-0e0f-4955-a063-df134f80de7f,2ba89c59-f674-4b5f-b73f-ab71471c2895
"Maybe you’ve got a friends group name that’s so good, no other group names would compete.",Left,teen-vogue,0,0,b106dba8-bbc5-4fbe-b65d-44e63b175178,3d483126-2a6d-44e3-b6b5-69ce2434eb91
"Rosamund Pike steals the show as society beauty Elspeth, a perennial debutante who seems faintly surprised to find herself living in the 21st century.",Lean Left,the-guardian,1,1,b7b8164c-8c84-49fa-adb5-cb6027abcb82,efa57670-0677-4748-b3fa-ad2e06c73492
Delusional politics for a delusional government that would only be taken seriously by the deluded.,Lean Left,the-guardian,1,0,9f1e2ee6-d78a-40f1-ad28-a42e230d07c8,a7f94e14-b819-4834-8b2f-eaa908593bf4
My students were engaging with the public about their college experience.,Lean Left,the-conversation,0,0,786e518c-3268-47e8-9b80-fd8a7c4a065c,5d9f320f-7548-416c-ba7e-6b4a283a52c9
The storm has knocked out power for hundreds of thousands of people and will likely cost the state millions in damages.,Left,alternet,0,0,56d4f7d3-9609-46a4-8836-cb47fb95768e,f133731a-9a91-4191-af19-c6d738e80937
"The Thunderbirds, now with a 1-1 record, saw notable performances from Jaxon Westwood and Kel Blood who put up 16 and 15 points respectively.",Center,deseret-news,0,0,538b605b-5ab7-47f7-9538-94d6799b0a11,dc04d0a7-8c3a-430d-b79d-739f3b730fc4
"In fact, the unsubstantiated accusation that the company was a party to sex trafficking is why the first federal case was declared a mistrial in 2021-prosecutors couldn't stop using the phrase.",Lean Right,reason,1,0,e3a9e361-ed9a-4669-ab97-0e25ab1ea774,df0bb9b2-52c6-4ed3-bf51-c8e3168f24d9
"Today, it’s easy to think of Zappa as a simple provocateur.",Left,the-atlantic,1,0,abc2de61-b67f-44a3-b67e-f67c24069d1e,13c56f7f-358b-4d48-82e1-65e0055b22e6
Spotify’s payouts to musicians can be nanoscopic on a per-stream basis-industry estimates peg it at around .0038 cents on average.,Left,alternet,0,0,b4b9a5c2-d306-4a83-8944-443941b4e878,0462d795-6816-4f5a-ad0f-5c32aaa21736
"$150 at Amazon Buy $170 at Target Buy Salomon Active Skin 8 Set Vest From $110 From $110 For runners going longer distances who need more water than can fit in a handheld, this hydration vest features two soft flasks that hold a total of one liter.",Left,new-york-magazine,0,0,2830785c-8c77-4f7c-8b1e-0ae25f4a4b56,ec30e495-a1ac-4bdc-b904-24c3d42b22b6
"Newsom at multiple points pointed out DeSantis' gaping polling deficit in the Republican primary, where he trails front-runner Donald Trump, even in his own state, despite entering the race with much fanfare and widespread goodwill among conservatives.",Lean Left,abc-news,1,0,d3a74247-191d-4d94-bf14-339c6078702b,9daa8256-f62f-408f-bdba-300a3b9f7960
"The RNC appears to have let Christie, who did not seem to clear all their polling requirements, into the debate hinging upon a survey that was conducted ahead of Sept. 15 - the start of the qualification window outlined by the RNC for this debate.",Lean Right,hotair,0,0,4adde197-130c-43d9-9ff9-a12b1d379b42,bf434a92-2122-4d06-b537-1b162e27dea1
"Battery life is claimed to be between 4.5 and nine hours, and storage has been increased from 32GB to 64GB.",Lean Left,the-independent,0,0,90a2f091-470f-46e3-918f-83ea032c7712,cc55b2b1-2f35-4dd1-8a32-29fab3170e19
Godzilla x Kong: The New Empire (Warner Bros.) Don’t let the name fool you.,Left,new-york-magazine,1,1,db043b20-6a5e-4187-8ee1-c74bc250b003,3aa806ef-c618-488f-8c4d-b304c65fa574
"For most of the people who thronged the store, the wee-hours shopping trip was as much a part of their Thanksgiving tradition as turkey.",Left,the-atlantic,1,0,76e723a8-0880-4756-9cb4-d46bcbbbce13,9113366e-9553-4fd3-9fd5-4c184ae6c3b5
Trump says he wouldn’t be a dictator ‘except for Day One’,Lean Right,fiscal-times,1,0,d9c2d47f-584a-4891-8957-8df8b38dc4c1,d9c868f9-157c-45dd-93de-62932b987846
"This exodus of nurses is making an already weak system weaker, increasing the burdens on the nurses left behind and leaving them exhausted, burned out-and looking for a way out too.",Center,quartz,1,1,20e5e4f3-ad35-4224-8b8f-a71c19165a6a,a6d7507f-8da9-42f0-89a5-66ea5b746391
"One reason for the numbers was racism in Tunisia: President Kais Saied had given a nasty speech about sub-Saharan Africans in March, full of paranoia, and a wave of racial violence had encouraged migrant workers to try their luck on unstable rafts.",Left,alternet,1,0,45d6b624-70c7-47ab-b420-0debc5d0907a,d5983a58-a3e9-4e22-a1a4-c8a2013c0d1f
"He helped to develop and pass the CHIPS and Science Act in 2022, which plans to boost domestic microchip manufacturing.",Center,az-central,0,0,9f75e47e-c8b3-434e-848c-099e706aff59,fa15d38e-9747-4cea-924c-57a8809685bb
"If that happens, it would be among the highest temperatures ever reliably measured on the planet.",Left,alternet,0,0,419d0790-c41a-4c2a-8de3-e868391c63e6,9352672a-d8b0-4d44-9741-13869cf74c8b
