text,source_party,source_name,topic,bias_estimate,model_uncertainity,sentence_id,article_id
"Outsourcing judicial opinions Advertisement The grievous practice at the heart of Freeney’s case is one I’ve written about here before: For years, judges in Harris County, Tex., have essentially outsourced their judicial opinions to the county’s prosecutors.",Left,alternet,Conversational,1,0,41b7022e-88c5-407a-bb0f-da7eb924a649,503d7389-facb-4c6d-96e4-6ab4af1a9288
And we need to start treating pandemics as a risk of doing these things around the planet.,Left,alternet,Healthcare,1,1,c2422f3f-6ee9-4806-97aa-8f210da93ce0,f54d2a6e-a1dd-42a5-af86-866e5fe8680e
"We are masters at erecting psychological defences and justifying behaviour that we know is not ethical but feels good, such as pleasuring the palate.",Left,alternet,Conversational,1,0,71de702a-79b3-40bd-ab04-00455fef9bd9,105d3a52-3c5f-4052-91e2-9ff7ea1a706c
"Somali pirates and African desert smugglers were organized criminals who needed certain basics-Kalashnikovs, SUVs, a cheap supply of food-and the profits in either case could be staggering.",Left,alternet,Disaster,1,1,a9b6077a-3be1-4f79-af82-151ebd1422fb,d5983a58-a3e9-4e22-a1a4-c8a2013c0d1f
"Graham remains perhaps Trump’s closest collaborator in the Senate, a frequent golf partner and nuanced handler of the presidential ego.",Left,alternet,Conversational,1,0,e84e7ef5-9ed6-403b-bf97-da00b17b1ebf,b5ac9f56-21d4-4c20-801c-540edd2a1e20
"Advertisement A cautionary tale Leo also has been involved with ideologically motivated fundraising at George Mason University in Fairfax, Virginia, as reported by several news outlets.",Left,alternet,Conversational,1,1,a298f6b0-e66d-4741-88b2-045d20cd62f5,96cd90c5-a667-438d-a224-bcb33923ced2
"On November 16, prior to Israel and Hamas reaching a deal to free some of the hostages kidnapped by Hamas terrorists, Hasan accused Israel of turning down a similar deal.",Left,alternet,Geopolitics,1,0,126229e6-7d50-4bc9-a2a5-e302b84c4726,c6604aa4-97b1-4b88-9335-ab9d119808d2
"On the very day that Congress counted the electoral votes that certified President-elect Joe Biden’s victory, Trump opened up the US Capitol to an insurrection.",Left,alternet,Conversational,1,0,4236a400-02a3-47f3-ab99-fda749e2d4d3,6d1b33cb-69f4-477c-b77f-bd68f42a061f
There's a photo of an angry red sore on a penis.,Left,alternet,Politics,1,0,e2148def-75a3-49ba-abdf-41ed39154eb2,6eafb681-7e02-4187-9fcd-ffe01c36e9c8
Kois: I mean the easy answer is Kushner because he is a great talker.,Left,alternet,Conversational,1,0,6d44c363-e856-440a-aa3b-1a44bf45b4c8,ec4dfc67-6386-4c0b-98b3-b49c22c6be83
But hardliners swiftly resisted Johnson’s bid and a new list of candidates emerged.,Left,alternet,Politics,1,1,46acde86-39b9-4354-a49d-f601112a7488,fbe16779-a2a3-43b6-a7dd-b822bd58b287
"As my Post colleague Catherine Rampell pointed out, exploiting the brain drain from China (and Russia, for that matter) would serve the dual purposes of enhancing national security and boosting American innovation, entrepreneurship and productivity.",Left,alternet,Politics,1,0,e441083c-b803-4584-9b95-065be22d42f1,76c74b91-6e50-4319-9a75-3731d27c6591
A lot of people are absolutely appalled by what's going on.,Left,alternet,Diplomacy,1,0,e3d152f8-dd23-42b1-b5a0-101215757d82,f3c149b1-5404-4682-8fee-5865dccda3d1
Tourism and business numbers are picking back up to pre-pandemic numbers in Los Angeles and Orange counties.,Left,alternet,Finance,1,0,5a37f8c5-5db8-4685-90d1-c55413d466d1,317ca630-022c-412c-ac5a-730ed26722ea
"If Barrett were to replace Justice Kennedy and lived as long as Ginsburg, she could be handing down far-right Supreme Court decisions well after 2055.",Left,alternet,Politics,1,1,8a4e8f5e-76fb-4706-9a91-38e4b26cf2ac,46b95279-0c8f-4eb4-a922-eff4805aba0c
"But clever financial engineering, extensive political lobbying and self-certification can’t perpetually hold back the effects of shoddy engineering.",Left,alternet,Security,1,0,ad28c38f-5fd7-410e-8676-a5155880fb86,b97228cb-ad7b-46f0-ab4a-7cc6e3f5846d
It’s a fact that this policy has been a boon to cartels and thugs.,Left,alternet,Politics,1,0,59b220c4-e668-4b3a-83e3-78603cbf4611,23b75926-5fa1-4376-a5fc-47b3a90392bf
"Unlike the Wall Street banks that reaped bailouts 12 years ago, the firms seeking aid today bear no direct responsibility for the catastrophe that threatens their survival.",Left,alternet,Economics,1,1,4304c8be-9dcd-4adb-9318-59e6f69b1c2d,7e6f0806-2782-4a94-b523-367861af2163
"And they will be seen, I believe, to be on the right side of history.",Left,alternet,Economics,1,0,b31b5144-f879-4347-942c-9fdca48ab1a2,6c148be0-94f3-43cd-832f-a7107b9bf7fd
"He’s argued that if former Vice President Joe Biden were in the White House during the current moment, the media would be fawning over the strong job gains, including the nearly five million jobs that the Labor Department reported on Thursday had been added over the last month ending in mid-June.",Left,alternet,Economics,1,0,d0db4971-10b4-4fa5-a20f-0d4962aef881,ad4f370a-4a8b-452b-b32d-7f906471be74
"The financial woes at the business, Yellow, which previously went by the name YRC Worldwide, have been building for years.",Left,alternet,Economics,1,1,8e999ae3-bd33-4c70-a3d5-2fedd1b3d724,f7cd62bd-0f4f-44cd-a0c3-81d12d9491e7
"Because I just wanted to rub Nancy Pelosi’s face in it one more time, OK?",Left,alternet,Politics,1,0,cc72ab43-b0aa-4538-8c34-9687ff21a950,63e7abe9-3fcb-489c-a1f0-81247a35050e
"They no doubt saw below in the teeming settlements an unassailable power, with at least 120 temple mounds used as residences, sacred ceremonial sites, tombs, meeting centers and ball courts.",Left,alternet,Archaeology,1,0,fd5b28df-aa2b-4745-94f9-cc0cbeb09cc6,fd3a7496-f54c-42a9-8a19-5184db768357
"Across the centuries, the political power of Christianity has waxed and waned, in tandem with waves of religious revival and retreat, and with the needs and aspirations of politicians.",Left,alternet,Religion,1,1,a50cbef0-a7fa-4879-88cc-e9f2e9428b8a,b925e492-441f-4daf-8c94-c7c0a961a2f0
The endless battle for the speakership is already encouraging new thinking and might yet lead to institutional arrangements to allow bipartisan majorities to work their will.,Left,alternet,Politics,1,0,a88b3acd-b434-4018-8f39-9b94b6b8a8e1,ec50afd2-7716-4b5f-aba7-568ea48542c2
"Things were picking up in 2019, as Putin was planning his invasion of Ukraine while Trump was preparing for the 2020 election.",Left,alternet,Politics,1,1,53c941bb-d66a-4b53-8c56-650a0887ef00,2b44fffb-cb71-4b06-a150-a84de9fbf4a1
"Otherwise, why was he was calling for an immigration reform and a pathway to citizenship for 11 million undocumented immigrants back in 2014?",Left,alternet,Politics,1,0,50f9bc8a-0369-4fde-be4f-a12a64ffd13a,7c3c07e6-b53e-4095-b4f7-623294fa2893
"The first and only impeachment hearing that Comer called was even more of a mess, with Republican-called witnesses admitting that they hadn’t seen any bombshell proof of a scandal.",Left,alternet,Politics,1,0,5acfae6c-7c46-4216-8b72-9aec10f5d443,c7074007-d71c-492a-a74a-ccdd53dbc0ce
"A CNN team filmed a slave market in 2017, jerky footage of twelve migrants from Niger auctioned in a nighttime Libyan yard.",Left,alternet,Disaster,1,0,a0f254da-d5ba-4bfb-94ed-4c9f2a90cb84,d5983a58-a3e9-4e22-a1a4-c8a2013c0d1f
Most people in Kerala were uninterested in the dangerous flippancy of the right-wing politics represented by the Bharatiya Janata Party-in power at the center in India-which is keener to talk about anything other than issues that concern people's material conditions of life such as the pandemic and its social impact on their lives.,Left,alternet,Diplomacy,1,0,4f855229-4384-45b2-bad8-26885a3ca883,b0655b94-9dcc-4c65-96e8-dc4bd8902b1f
Western states arrived at this crucible in large part because of their own doing.,Left,alternet,Environment,1,0,07517c82-7b7e-4268-8a90-c990af974af8,351f723f-b84b-40e3-b98a-bd7d3c4199c6
Other North Texas districts are similarly embroiled in fights over books.,Left,alternet,Politics,1,0,35b53c86-c72c-481f-811b-7b1ffab05173,98f59ee7-da59-4838-893d-9e57038ac3d6
Martin Luther King was frequently dismissed as a communist by his enemies.,Left,alternet,Religion,1,0,99074a3a-056b-42c9-8561-7bf218a0e1c2,2c42aa94-3fe9-41fb-96be-ae37c7b3ea58
"The majority opinion was also authored by Chief Justice John Roberts, long considered one of the biggest foes of the Voting Rights Act - the same justice who had gutted a provision at the heart of the law that required places with a history of voting discrimination to get their election changes pre-cleared.",Left,alternet,Politics,1,0,e689cc01-7743-4c4f-a74f-ec583b29d48d,6b1b73ce-edaa-4a94-815b-4853f31fb3ed
We're being poisoned by the cartels and the C[Chinese] C[Communist] P[arty].,Left,alternet,Conversational,1,0,8883f112-2d43-4e0d-a4a2-8aa0ec79dc79,006b5475-664d-44fb-b173-a3f22390e8f4
These proposals are typically billed as responses to the fentanyl overdose crisis.,Left,alternet,Politics,1,0,d318d4bc-6e3c-4b8d-93e0-3c73b9251988,cf0fe428-596a-4bda-986a-5b0f07978242
"In a sign of his growing sophistication, he formed what would be a key weapon in furthering the conservative takeover of the courts.",Left,alternet,Politics,1,0,f92fcaaf-c762-4efc-b0ac-67b4080f9550,9f18cc99-24c5-4410-bb6b-8eedc3b1b552
"Instead of focusing on issues like taxes, gas prices or abortion policy, he wove a story about what he saw as the true Christian identity of the nation, and how it was time, together, for Christians to reclaim political power.",Left,alternet,Religion,1,0,4f6ccb95-cced-439e-8b88-e89a706b597b,38cb1966-f117-4ee8-881d-91709f1531b1
"By not coming here, the residents of our county, whose values align with these organizations, get hurt.",Left,alternet,Politics,1,1,901d93de-c3af-4bd2-ae61-3948385b832d,5e32372d-ccb7-49b1-a47d-36bc5b06ed64
The Covid-19 pandemic continues to be catastrophic not only to our health - mental and physical - but also to the stability of millions of people.,Left,alternet,Media,1,0,39944c9a-dc7c-4191-88ac-d5d0af10e719,e1041183-c27d-4fd3-9e55-ce78b0cd6b32
"For all the justified distress over weaponized disinformation, perhaps the more damaging lie is to maintain the pretense that we are a functioning democracy, or that the Republican Party is a legitimate democratic actor and not the political arm of an increasingly successful fascist movement.",Left,alternet,Politics,1,0,ae0ef78b-177f-47fb-a0dc-e8aa5aebbdc5,b618fa28-39b4-4e4c-b1d0-dce2fdfcdaf6
"Following The New York Times' bombshell about the president paying just $750 in federal taxes in 2016 and 2017, and no taxes for 15 out of 20 years, the Drudge Report on Monday just destroyed Trump.",Left,alternet,Conversational,1,0,92c91e81-d28e-4651-b39a-c4b447650f9e,04604bd2-5e13-4c23-9ba8-143c7c7be77d
"I don’t think the NFL’s that stupid,"" the ex-talk show host replied.",Left,alternet,Conversational,1,0,dcc7fa4d-d003-4956-a80d-31999def8036,006b5475-664d-44fb-b173-a3f22390e8f4
We reinforced a narrative that’s bad for us as a nation.,Left,alternet,Conversational,1,1,c6f53450-4915-48fa-b491-41b6b21f56ce,a47dcf56-b79b-459d-92a4-9de6ded87aa7
"U.S. Senate Democratic Majority Leader Chuck Schumer delivered strong criticism against Senator Tommy Tuberville on Tuesday, after the Republican from Alabama once again defended white nationalism, this time falsely claiming the belief is not inherently racist.",Left,alternet,Politics,1,0,50c66362-92d9-4184-b146-ea70d9b43576,138d4777-903e-4f16-8193-3244176e5a2a
"Despite his skill and credentials, VanDyke quickly alienated colleagues in the Montana attorney general’s office.",Left,alternet,Politics,1,0,653e51e8-5b8b-4aa6-8a27-af219cfed607,9f18cc99-24c5-4410-bb6b-8eedc3b1b552
"We’re now regularly hearing from racists and open Nazis, many of them elected Republican officials, who would have been driven out of decent society before the Reagan Revolution.",Left,alternet,Politics,1,0,490b60ee-95a5-4b32-b1b0-c97f9c0238ce,0e5078a2-ffab-4b8c-ac3a-8217c2a77413
"Since January, Trump has succeeded in making all three crises worse.",Left,alternet,Healthcare,1,0,471e33e9-9ec9-4442-a46f-28a60ef25aef,2b83d03b-7297-44db-8d57-5f456c3971ac
"ProPublica Listen to the Podcast We Don’t Talk About Leonard The judges and the security detail, the law school leadership and the legal theorists - all of this was a vivid display not only of Leo’s power but of his vision.",Left,alternet,Politics,1,0,df04b513-e77d-46cf-a11a-1e1963159d3e,9f18cc99-24c5-4410-bb6b-8eedc3b1b552
"It leads us directly to oligarchy - rule by the richest few, putting democracy at risk.",Left,alternet,Economics,1,0,6a5e0638-9129-4cd6-9e8b-aaf026eb5134,cae83b90-07eb-43ff-b2be-1c7ef3a8089a
These five elements of fascism reinforce each other: Rejection of democracy in favor of a strongman depends on galvanizing popular rage.,Left,alternet,Politics,1,0,784e9c2f-9890-4388-9cb7-7a0d16ade5cf,bb6aa90b-829e-4d9e-ad12-990e5434a67c
"Just as red-state antiabortion laws and school crackdowns have produced viral tales of reactionary excess, so too will the nation train its attention on Florida’s anti-immigrant regime and the carnage it’s producing.",Left,alternet,Politics,1,0,11967414-e69d-45b4-9b39-db3ee0ae8d48,0d2b5f82-6175-4a18-9e2f-9212649f3aad
"Again-and I cannot emphasize this enough-this is not a prediction from me and my weirdo, Never Trump friends.",Left,alternet,Conversational,1,0,628cb551-1df6-43c7-af7c-b78afb92dbdc,3e35fbba-ed7c-4f9d-aa29-a35e90d89786
But it is clear that many of DeSantis’s wounds are self-inflicted.,Left,alternet,Politics,1,0,06d702a5-628d-4084-afd3-291d7b766364,dbfcdf56-d811-403e-8895-a9f951fb6a86
"In state after state, fast-growing, traditionally liberal college counties like Dane are flexing their muscles, generating higher turnout and ever greater Democratic margins.",Left,alternet,Politics,1,1,ce0a2efb-f71f-41e8-a6b9-c72a9494e64f,9e4107ea-c554-4157-a6d9-85aa963f8cfc
"Had Davis and top Confederate generals been tried and convicted, polite society in the South could not have viewed these traitors as heroes.",Left,alternet,Politics,1,0,27149596-6ea9-4ecd-b70d-f8ebda32ceb7,c2671f4f-8e04-4b91-b42d-e618b18fd7bf
It is also a prime example of how a tight circle of conservative legal activists have built a highly effective thought chamber around the court’s conservative flank over the past decade.,Left,alternet,Politics,1,1,3ea35fb3-8af4-48fd-aa98-e952cbdcfed2,1fab7f7b-02e9-4533-8d72-624a4e5ea03c
"For example, the leader of the right-wing populist Party for Freedom in the Netherlands, Geert Wilders, instrumentalized concerns about the arrival of refugees after the 2015 Paris attacks.",Left,alternet,Diplomacy,1,0,e04c27e4-28d7-4920-9a20-6564fe0dc88b,d0086fa7-6b24-43a5-b487-1cd5aa4d696b
"If there’s one word that could encapsulate Kennedy’s legacy, it would be this: liberty.",Left,alternet,Politics,0,0,b8dd3083-063e-4218-bd37-0c2665fc8864,a01fb390-61a3-471e-8f19-cbb250abfcdc
Her research looked at 12 different kinds of salt (including 10 sea salts) bought from US grocery stores around the world.,Left,alternet,Health,0,0,31d8825e-a8d6-4a0a-9f3b-5e3d7cf84db8,840fbf9e-3c74-4c68-ae86-5af1c90926d1
"Last month, a review by The Associated Press found that only 24 people out of 3.3 million who cast ballots in the 2020 election have been charged with election fraud in the state.",Left,alternet,Politics,0,0,33c420ee-4b74-47c9-86eb-b4866a2ac0f2,01bfe245-ca0b-4d90-88ee-259180c4053b
"Given all this, is it any wonder that rates of upward mobility in the rural South are among the lowest in the country?",Left,alternet,Conversational,0,0,ef9682fd-0943-456e-b184-987508b61aba,649eabb1-fe28-4917-a914-db6824fb0db6
Little precipitation is able to infiltrate the deep aquifers through layers of much less permeable shale.,Left,alternet,Environment,0,0,6db0c09e-8194-4e80-a84d-6bd8e3b6d047,f905db18-17b1-4ce0-bee5-9975240f5ab3
"A 22-year-old man also stepped forward in 2004, accusing DeLorenzo of sexual abuse based on a May 1987 incident.",Left,alternet,Religion,0,0,d0d4dc42-c2a3-458a-9408-96dfbff65779,f389ea37-4564-4cef-ae1b-7d327c38e372
Chart 1 displays the item categories with the most downsized and upsized observations in the CPI sample from January 2015 to December 2021.,Left,alternet,Finance,0,0,5a2700c7-a1ba-4ce8-83c4-9c42ebadd0c4,38e3a9b0-1fde-45ea-bf3e-51bf94df2d73
It also directs the monument advisory committee to include representation from the ranching community.,Left,alternet,Indigenous,0,0,fa20e0cd-1adb-4667-8214-3aeece75a343,a0ce4897-4884-45c8-b3b7-691d1b2f6308
"Testing, however, revealed lead levels that far exceeded the EPA-stipulated maximum because the water hadn't been treated with anti-corrosion additives to counter contamination.",Left,alternet,Environment,0,0,924eaded-f84f-4d72-acdf-fda13e9d7b20,63dda576-f235-42e2-a290-aaba9390e7f5
"The consumer price index, a key inflation gauge, increased 0.4% in September and 3.7% compared to a year ago.",Left,alternet,Economics,0,0,a8c00332-b5c4-4d88-9e0f-11501a25488e,4477e2c4-bd89-48f6-9b5f-86acd1876e4c
"Those who say their support for Biden is more of an anti-Trump vote are near universal in saying the charges related to his role in the January 6, 2021, attack on the US Capitol (96%) and to efforts to overturn the 2020 election (93%) are disqualifying if true, while about seven in 10 of those who say their backing for Trump is to show support for him say the former president faces so many charges largely due to political abuse of the justice system (69%).",Left,alternet,Politics,0,0,966486a7-080b-4561-ac7e-756991914daa,69e50f92-1f72-44cb-9f8e-5aed8c65a8b1
"In Kentucky, the Lee County School District is encouraging families to stay home and limit contact with other students if possible.",Left,alternet,Politics,0,0,91edf446-fd2a-420b-a7be-db9184c0b479,085d28be-2b38-45a6-81de-9ca253e8e528
"Shortly after that announcement, Trump announced his support for the new Republican.",Left,alternet,Conversational,0,0,41bdc4e1-018f-4352-ab67-19757880e593,065aa0b3-7f61-4f88-b21d-3546102f2a09
"The contrast with the relatively successful responses of Taiwan, Australia, New Zealand, Germany, Vietnam, and China underscores that a viral outbreak need not have led to a pandemic, and certainly not to one on the scale experienced in the US.",Left,alternet,Military,0,0,b1cda9df-f2cd-4539-bfb4-c692669e7ed5,2d646e96-2b73-4f0a-8241-b31e23426763
"Similarly, whey they have held the majority, MAGA Era leaders have been less experienced than Gingrich Era leaders, and again, have been far less experienced than Democratic leaders when they have had the majority.",Left,alternet,Politics,0,1,8aeb494f-d436-4d68-b04f-fa96995af626,b618fa28-39b4-4e4c-b1d0-dce2fdfcdaf6
"Among those who say gender is determined by sex assigned at birth, adults younger than 30 stand out as being more likely than their older counterparts to say their knowledge of science (60%), what they’ve heard or read on social media (22%) or knowing someone who is trans (17%) influenced this view a great deal or a fair amount.",Left,alternet,Politics,0,0,836d25be-7324-420e-847a-d59af4fc3b5f,08995a06-3f94-416e-8e2d-632a46f49a5f
"Christian Ziegler to date has rebuffed calls for his resignation, including by Florida Republican leaders including Gov.",Left,alternet,Politics,0,0,be51d8c2-c1cc-4508-a327-8432403093e6,dfc363fe-07a9-4fb0-a61d-46ef63025e01
"Lenders, like bail bondsmen, were available to cover the cost, and Happiness took out a loan.",Left,alternet,Disaster,0,0,4b361357-0f3a-4f4d-91da-eda472d72b7a,d5983a58-a3e9-4e22-a1a4-c8a2013c0d1f
"There are exceptions to the rule, particularly in the states with the most conservative voting habits.",Left,alternet,Politics,0,0,ebf7af46-ba3c-4421-996a-061420177d93,9e4107ea-c554-4157-a6d9-85aa963f8cfc
"___ GASEOUS POLITICS For all of that, the Green New Deal does not seek to ban cows or planes as it sets ambitious targets to eliminate most greenhouse gas emissions responsible for global warming by 2030.",Left,alternet,Conversational,0,0,b4c845c1-98f9-4af8-b5b2-bba6777e7de5,6d7dcde0-5b6f-4d98-aa42-4f319fe3b128
"Missouri lawmakers are likely to revisit the qualifications for constitutional amendments next year, after failing to come to an agreement this year.",Left,alternet,Politics,0,0,81583c87-2115-49f6-901a-1b8ce062f425,958e75e0-5c0a-4c3a-a948-d715bc988f81
"2 political official in the chemical safety office, who previously worked for the chemical industry’s main lobbying group.",Left,alternet,Environment,0,0,19e03790-4b73-4e4a-a9fc-0453be08b9ff,d7450c25-a28a-4984-bfd4-f1697f8ed60a
"Animal agriculture uses almost one-third of the planet’s ice-free land, while feed production occupies a third of the cropland .",Left,alternet,Economics,0,0,6f9f4475-8945-4921-85fe-0d657b49d935,7fc88bbb-2674-4af6-ab1e-b73fbd59fd82
President Joe Biden revoked the travel ban after he took office in 2021.,Left,alternet,Politics,0,0,21f023b3-736f-4315-bb8e-18cec670a8ff,be933fd2-d621-4fc9-97c4-5f17c50dba20
"There have only been six total expulsions from the House, including Santos.",Left,alternet,Conversational,0,0,f35ac56d-77eb-4bda-a8e8-e87c948436ff,a7d8b664-1994-4e7b-92f6-4a8e638d95c4
"Here we present an extract from Late Victorian Holocausts, Davis' magisterial melding of global ecological and political history, disclosing the nineteenth-century roots of underdevelopment in what became the Third World.",Left,alternet,Environment,0,0,fa177b32-cec8-4dae-bd1c-525f8cf0e292,30c1ea85-6fe6-4fd5-ba97-7c6e319d69a5
"The Ohio race is considered a tossup by political analysts, and it's expected to be one of the most competitive and expensive in the country.",Left,alternet,Conversational,0,0,3c7e600f-c380-459a-99fb-04665ec3f6c1,5e079c17-860d-415f-a2cc-4bbb9ec5889a
"Floyd, Taylor, Arbery and Cooper were black and were victims of an American society in which being black carries a constant danger of being viewed with suspicion, arrested, or killed while engaging in ordinary activities that white Americans do every day without fear.",Left,alternet,Conversational,0,0,6993c03f-d795-4bd9-8b49-982906076266,84abfc32-ec24-431e-9df3-b3a071cb7417
"And while states such as California have heat-specific worker protection requirements, there are no national regulations in place.",Left,alternet,Environment,0,0,f7a85c75-0da2-423e-b4b5-d6735bfc0d24,7d562531-2cbf-45f0-9ea3-5158cd7bae03
"It wasn’t until Dec. 7, 1987 - 22 years after that visit to Speth’s house - that PG&E finally told the local water board that it had contaminated the underground water.",Left,alternet,Environment,0,0,cb188f61-0e75-4093-b0bb-6b7d1e23ac4d,feb85912-d80f-4df9-8d64-a95252838059
"Can you explain what the current exhibit is, what the one that has been shelved is, at least for now, that you and Professor Hinojosa have been the creators of?",Left,alternet,Politics,0,0,f15468c9-73d2-4500-8384-30a56f8ea55d,2a8888e6-63fb-4c0f-a0c0-5e1ac35694e2
"""There's an organization that tracks the device IDs across all violent protests around the world.",Left,alternet,Conversational,0,0,5758cf93-fe96-45c1-a58e-b94fed23e2a1,8a1da013-85f5-4731-92c3-b4b588693775
Spokespeople for the governor’s office and the state Department of Education didn’t respond to requests for comment.,Left,alternet,Politics,0,0,cc1e15ad-0d4a-4678-a8cd-b3b3f20000ac,40ce7c3d-b7f3-4bf0-bb2d-aaff5260d7ee
"Today, President Joseph R. Biden, Jr. declared that a major disaster exists in the State of Hawaii and ordered Federal aid to supplement state and local recovery efforts in the areas affected by wildfires beginning on August 8, 2023, and continuing.",Left,alternet,Environment,0,0,44707abc-f714-431e-af29-1b963358f184,7c38795b-13d3-4ffc-bb4d-46f5203c8be0
"A decadeslong trend of electrifying natural gas fuel facilities meant that when ERCOT implemented power outages to prevent the complete collapse of the grid, the outages inadvertently choked off fuel for plants that could have returned power to homes.",Left,alternet,Environment,0,0,262c5b55-a34c-4e5e-b416-c6e77d195c9a,703b4dc3-fe2c-4f79-9e9a-ab241eb65fb2
"Fewer than 10% of patients who experience a stillbirth are tested for syphilis, suggesting that cases are underdiagnosed.",Left,alternet,Politics,0,0,106ab68b-6f33-4a46-939d-4e1f8b03f8cc,6eafb681-7e02-4187-9fcd-ffe01c36e9c8
"But 28 months after the attempted insurrection, a significant number of rioters are still awaiting their sentencing.",Left,alternet,Politics,0,0,1a85bac6-39ca-4375-a3c5-feb29d0e02aa,944f6c21-6558-4569-b879-e5c88650b268
"[82] El Khayat et al., Impacts of Climate Change and Heat Stress on Farmworkers’ Health: A Scoping Review (2022).",Left,alternet,Environment,0,0,e35cbcc1-3eed-4203-b414-8c6177907c91,1a024a72-2931-419c-9aea-07b2cf8de130
Latino voters were nearly twice as likely to say that as white voters - 29% versus 18%.,Left,alternet,Politics,0,0,0af3dbc2-3ede-4b1d-a8d2-46358b83bedc,13bb3161-f2f2-407a-a335-468d45979e4c
"The earliest blaze reported by Maui County officials was described as a brush fire in the Olinda Road area of Kula, a town in the island's Upcountry region, where wildfires eventually burned through about 700 acres and claimed 19 homes.",Left,alternet,Environment,0,0,fc944ab6-9b89-4088-ab21-a12ea4b050c3,c215f4c4-ebf1-4b39-97fb-0b91c77fe02f
"So that 13,000, for us, represents the parents that are just not tuned in to this issue.",Left,alternet,Politics,0,0,8e2fe258-e25b-4e9b-b4e0-39339ede7eb1,45ebe021-b8d0-4a43-a1b8-c4e7d03144de
"Several counties in the Northeast violated the rule multiple times, including Baltimore and Worcester, Massachusetts.",Left,alternet,Environment,0,0,cffbec6f-4657-4748-81c1-474c6a32ff60,aec8ec33-28ff-4497-b4ca-f3f404c514ca
"It would also be a signal from wealthier countries, which are most responsible for planet-warming greenhouse gas emissions, that there is a global responsibility to help those harmed by climate change.",Left,alternet,Conversational,0,0,b3c434da-fc74-4b3c-a209-070a8c8298af,16b95faa-a069-4a6d-9120-81815caef7ef
"In Georgia, for example, Walmart employed an estimated 3,959 workers on Medicaid-an estimated 2.1 percent of the total of non-elderly, non-disabled people in the state receiving the benefit.",Left,alternet,Economics,0,0,a7001655-1967-4501-a125-e4a76326130b,30a438e3-0dac-46e1-b408-c544c31319f5
