text,source_party,source_name,bias_estimate,model_uncertainity,sentence_id,article_id
"Apple pushes out software update to address overheating in new iPhone 15 Apple is blaming a software bug and app issues for causing its latest iPhones to become hot to the touch and, according to some customers, uncomfortable to handle.",Lean Left,cbs-news,0,0,98049279-6d13-4fe9-bc32-a29107904f1b,d197f8e7-1405-4d62-9ff1-c01e54d8ec27
"And even though, like, fourth place, fifth place, we got all these different color ribbons.",Lean Left,pbs-newshour,0,0,fc6cf3ef-dfc0-4a8b-b828-99a17b07e9f3,c13b55c9-0b9e-4e67-a45a-ae4ab6dda2ea
"Actor Mr. T is always actively using his platform to promote his Christian faith and now he is using it to share his first sermon, preached at his home church.",Lean Right,the-christian-post,0,0,e4c519b2-9dd9-42cc-b5a9-30530dde1424,02892bfa-2f85-4a2b-bc72-80e9502d85b2
The show features your favorite FOX personalities going head-to-head to debate the most divisive topics of the holiday season.,Right,fox-news,0,0,57ed6793-0b79-4021-82e9-01905c26c90b,86651f7b-b830-4d7b-b0f8-99e58c250d81
This land isn’t for you or me. It’s for the meat industry.,Left,vox,1,1,7ceecfda-ea36-4a98-9b09-06242fc5ca02,8858dc80-49bc-4b1e-85a4-84bf23386cf8
"Although their relationship spanned six years, the couple was rarely spotted out together.",Right,fox-news,0,0,47d8b841-424d-4569-b9d7-5f5a0cb3366b,25d5f302-62cc-4e6e-a1e4-000de2a42a2f
"But it comes out that National Geographic, published this photo with the headline, This polar bear is dying for climate change.",Left,vogue,1,0,ad3baaec-f054-4e91-acb8-f76efde215cb,7848a299-a98c-462d-99bb-b52741560ef7
"During a rehearsal for the Grammy Awards in 2014, Blue was given a microphone to talk to her mom onstage.",Lean Left,washington-post,0,0,a360ef3f-ead5-4740-93c6-57f483acf301,634ef64f-3816-4419-86c1-bab455ef7e1b
"He is a political analyst, author, public speaker, independent public opinion pollster and columnist for Creators Syndicate.",Right,newsmax,0,0,a806036f-d608-4500-ba08-bced1f8f26e3,39fb3d9f-1350-4bbf-a77a-83c6b9202b49
"Last week saw a violent confrontation at the annual Rockefeller Center tree lighting ceremony in New York City, when a large pro-Palestinian crowd clashed with the police.",Lean Right,washington-examiner,0,0,5e6c7704-8002-436c-8e29-ce4f826caa78,13228843-d3e2-4311-ac3d-2d19554a8c4e
"But that is still enough to provide all the proteins used in the ribosomes and the various polymerases, to catalyse all the reactions that build up the other molecules the bacterium needs-such as those which make up its outer surface-and to break down the food it uses to provide the energy which drives everything else.",Lean Left,the-economist,0,0,f6465f96-66de-4278-8574-a5d37ef25bff,03a1e7c4-d217-403c-b3cb-de4b2af0a157
Watching the first flicker of the white light on the holiday tree is a long standing tradition in Germantown.,Right,newsmax,0,0,cc84f6cd-25a2-47b5-a777-926f2a447b85,a2553f7b-f363-4ac7-8274-66ac05dc243a
"In the ETN’s prospectus, BMO emphasized that the product is designed for short-term trading by sophisticated investors.",Center,marketwatch,0,0,b820ff4e-ef1d-4e43-8ee1-b18985464fd9,90d6c2ae-fec3-4454-ba39-b4499b3f3190
"Approximately 1,200 people, mostly civilians, were killed in a single day - that's nearly four times the total number of Israelis killed from such conflicts since 2008, according to data from OCHA.",Center,cnbc,0,0,9e3f1d85-6fa4-4134-9cf7-72da40040e06,ff75cade-0663-4775-ba2e-5c3cc9d6c061
To say the quarterback situation for the Jets is a mess would be an understatement.,Left,new-york-daily-news,1,0,04cc4d66-f8ba-4dba-84b2-a62f8946202a,05d92db8-2eef-4c71-bf72-3c3ec6541450
That doesn’t happen when you check politicians or major media outlets.,Center,poynter,0,0,37d77a10-afa3-499b-8fc6-e64f40dcf8ce,b3507ce5-81d3-4cee-b869-feb19189d4df
"EU countries are currently negotiating new ways to tighten enforcement of the cap as part of their 12th package of sanctions against Russia, according to a draft seen by Politico.",Lean Right,rt,0,0,18a75c77-cbf5-4ba7-9824-62d4d701e84d,8a73c317-937a-486b-a48d-7f90277d624a
"That, surely, is much of why MAGA clings to the stolen-election conspiracy theories.",Lean Right,hotair,1,0,23205efd-cd8a-4683-81aa-54da22f51d72,b4498f5a-2196-478a-b18d-6fdb4c407381
"Beyond your current circumstances, there are needs, and there are wants.",Center,cnbc,0,0,1e9f5e99-7ef8-4d32-8d2e-7169cde08af5,dca0443b-85b7-4c95-9685-347d4a7d91d5
THE CANADIAN PRESS/Ryan Remiorz Devastating effects Gender-based violence has devastating effects for those who experience it.,Lean Left,the-conversation,1,0,d3550b23-c38d-4929-bacb-3ad7d8ec75bb,7e90cace-6165-4a54-b86f-d063fa20ae95
"But you write that over Netanyahu came to see Hamas as a way to balance power against the Palestinian Authority, which governs the West Bank.",Lean Left,npr,1,1,017f3883-a91c-4579-91fc-87d884677649,0f2e9cc3-8382-4dba-8318-28cd2e74a03e
"We had not pictured the Meta Quest 2 being one of the stars of Black Friday and Cyber Monday, but it has become just that.",Center,wired,0,0,5f60c77a-109e-4b99-82f2-fa51a1279565,b02dac2c-55e2-4ab9-8ed9-9fc249643cc6
Slattery ended up suing both levels of government through EMC’s nonprofit entity called Evergreen.,Right,national-catholic-register,0,0,9208d6b2-e655-47ff-b8cb-4805fa9cb608,e7ba2f22-f223-4d10-a39f-54d85c428b2e
"Stacy Revere/Getty Images When it comes to quarterback play over the past quarter-century, no franchise's fans have been more spoiled than the Green Bay Packers.",Lean Left,cnn,1,0,d72af49c-3e1f-45df-894b-15a2415a5bcf,f866303a-42ec-4de4-b059-a0e4d004ac6d
He is a member of the conservative legal group the Federalist Society.,Left,alternet,1,0,6237bcfb-a323-41c8-a4ff-d4a9199f9f43,dcb3bca8-a031-4d23-89e5-9fa027190cb0
Heat seekers can spoon on chile oil or chile crisp to zip things up.,Lean Left,san-diego-uniontribune,1,0,9e567389-be7d-451c-accc-857cc95b55df,a5b8c895-01ab-4384-8297-139085efe796
It's time to protect what matters most - your property and the people within it.,Right,newsmax,0,1,cd0ef001-403c-4999-be9f-176addb89fff,d57d79e6-d176-409f-be23-07f6d52e8cd8
He would have told her that he struggled to pinpoint the happiest day of his life because he couldn't decide between the day she agreed to marry him or the day she told him she loved him too.,Lean Left,abc-news,0,0,76b632c7-3e43-4c53-9647-3f6d62620a3a,af894ee6-b14a-4107-a985-57d2da4c90f3
"These references are not only meritless, but dangerous.... - Jason Aldean ( ) July 18, 2023 Meanwhile, the courthouse and other sites like it have come to represent the series of lynchings that terrorized Black people throughout the Jim Crow era, and an enduring symbol of white supremacy, said Robert David Bland, an assistant professor of history and Africana studies at the University of Tennessee, Knoxville.",Left,alternet,1,1,b37d2f28-11e1-4b73-886d-4135d7d92847,07603e71-18df-4c38-96db-ce29c474f716
"Delaware allows the formation of single-member LLCs, which can be managed by the owner, without the need for a board of directors or shareholders.",Right,newsmax,0,0,948b24f6-a2a0-4d4a-92aa-8d02852c3e6e,28b01b04-2d8a-4e4b-bb27-05fe8d304ea9
"Others, set up hurriedly over the past year and a half or so, have dubious credentials or opaque identities.",Center,quartz,1,0,af9f4647-dbe8-4dea-a061-702fce37c703,c788d67d-a8ff-44c1-98bf-4d8faa85741f
"-- By KEN RITTER and RIO YAMAT Associated Press reporter Russ Bynum contributed to this report from Savannah, Georgia.",Lean Left,nowthis-news,0,0,e3779974-0c01-4986-8b1b-90d66eda6d46,1ff927dc-cd2e-427f-8092-963f19ace53e
"The Defendant repeats that B. was an emotional support animal, having been adopted from a shelter, and that the Defendant served as B.",Lean Right,reason,1,0,493b92ea-71b4-4fe5-8533-c7bbb83e883d,0b9ef595-1bd7-4d1e-b21f-a039290b0a79
"While we can (sadly) expect to hear reports of Christians being violently attacked for sharing their faith around the world in Islamic nations or imprisoned for holding underground church services in China, isn’t America supposed to be a country built on Christian values?",Lean Right,the-christian-post,1,0,0f279696-3571-40ff-8def-c3ea3c500f88,985bb253-607a-4373-a301-89d442c211bc
"There is a long and ugly history of institutions using Black, Indigenous and racialized bodies without consent for medical experimentation, including drug testing.",Lean Left,the-conversation,1,0,adde5821-3b6f-456b-9810-6b3064d6f70f,5c94410e-73c6-4f35-a053-ce1a07272322
Settler groups have become bolder and the army has intensified its raids on Palestinian towns and cities.,Lean Left,the-economist,1,0,9fa8c894-2db2-4f57-bb72-b3da1b4aa8d6,596ffcab-2114-4037-9806-4a822e8fa15b
"Moreover, if allowed to escape the womb, this foreign object will detract from a mother’s ability to achieve income equality with non-burdened competitors within her professional cohort.",Right,american-thinker,1,0,a6806f8b-1eba-4120-b73f-ee596b9cae9e,1f90f6ea-fa51-42d0-adf8-1f0d81ca9bb3
"They'll be out in probably 6, 9, 12, 16, 18 months, depending on my personality type.",Center,wired,0,0,ce652647-4f47-4bec-b742-8285282ef75a,52297cbe-7ac2-4fe1-a7d7-bea30773fe95
"He left early in the eighth and final season, with his character moving to Costa Rica in the second episode.",Right,fox-news,0,0,59de69be-ac50-4793-a212-a21de057e7c5,4caeea8b-82af-429e-b501-41a1e0b64e87
"As such, the Houthis clearly see an opportunity to step into the vacuum and generate positive public opinion for their cause.",Lean Left,the-conversation,1,0,059bced2-9e52-4f41-83e7-e5145471118d,23df50c1-2f97-415e-a9d0-2e2be6be8170
"It’s not only that things are often terrible now and will be better later, but even in the midst of the terrible now, all things can be experienced as being well.",Lean Right,christianity-today,0,1,2b4d0a30-acf9-40ce-9c9c-28ab5b30b2fd,cbc25bc5-74aa-4e59-b560-bf73425ecac1
"They know a lot of things are worse, and, for the goods things that they have like jobs and homes, they worry if they will last.",Right,american-greatness,0,0,fa24a08c-624a-4c4f-8dfc-cf51184bb81f,23560228-6738-4092-a158-bc4578b5319c
"She claimed that this wave of book-banning and censorship was a renewed force of current origin, at least in its intensity and numbers.",Right,american-thinker,1,0,e1b1edb0-02da-4a5a-b7d0-38685cd1334b,1d26a7c8-e212-478b-8194-2ba630bccf6b
Baker said the changes would help level the playing field between men’s and women’s athletics by forcing schools to abide by gender equity regulations as they invest.,Lean Right,washington-times,0,0,42f96340-6861-4e61-84d7-adf41b120dd0,37ba397c-66e9-49e2-8d99-6a9c8d112b50
"Pajamas: Check out the adorable, creative selection of religious-themed pajamas from Holy Pals.",Right,national-catholic-register,1,1,674c96f1-6a6e-4151-8e19-9f32e4507fd0,a93dceff-cef8-4e94-b75f-44c05679c00f
"Boyle also noted that some Republican presidential candidates, including former South Carolina Gov.",Lean Right,fiscal-times,0,0,bbb212dd-4393-43f6-8199-55c53e08cd95,54d31d5c-c3db-46d6-959d-4262646b60c9
"Given the projected growth of container- and bulk-shipping demand in the ports of Wilmington and Morehead City, renewed scrutiny ought to be placed on existing policies that impact the competitiveness of these ports.",Lean Right,reason,0,0,f39d2f13-b528-46fa-8e24-1c56cec61076,3f10da40-6a20-466e-9730-b4a2cbc8ec63
"And while pro-Israel forces want to defeat these incumbents based on their lack of support for Israel, Democrats are already deeply divided on the issue.",Lean Left,abc-news,1,1,0f37905c-cc3c-4487-b731-20896b659a68,254302be-5fee-4211-8c2c-633e874c5bd4
This can come down to personal preference - meaning the literal mouthfeel of each one.,Left,new-york-magazine,0,0,1228ab3a-1a48-47c9-9311-6b7b4baaa76c,b7ab6de2-dd97-4a47-bbda-dece7c5dca2e
That was something that they just went out and did because it was a real threat that they were facing in their work.,Left,current-affairs,1,1,80a9ca43-fa58-49c4-93e4-edd6576b191e,b9a73c6d-9a62-4b4d-b42f-bcb81de860fc
"After adjusting for inflation, there have been more billion-dollar disasters so far in 2023 than any year since America’s National Oceanic and Atmospheric Administration began keeping records.",Left,alternet,0,0,10f1203b-0631-4d26-93ca-334b06be6311,f0134ca3-ba05-42c0-8e16-b8bd1115a1fd
"What matters isn’t so much whether the world is exactly so; more important, Wiseman, in his documentary investigations, finds what he’s looking for, or, rather, working like a fiction filmmaker, he persuasively makes his personal vision of the world seem incontrovertibly real.",Left,the-new-yorker,1,0,c2ebef93-11bb-49d4-ba3a-967254f0ade2,722b9b61-1d2a-4972-a6e8-b20e17f53ed5
"When he attended the Hong Kong edition of the Sohn Conference in 2017, he was constantly shadowed by a crowd of reporters as the market feverishly tried to guess what new short he would announce onstage.",Left,the-atlantic,1,0,f03f0599-37ef-4b1f-94c7-f51fee33ae45,051fc0f4-2504-404f-b65b-3efe384ec83a
"Listen to the conversation here: Subscribe here: Apple Podcasts  Spotify  YouTube  Google Podcasts  Pocket Casts The following is a transcript of the episode: Hanna Rosin: I’m Hanna Rosin, and this is Radio Atlantic.",Left,the-atlantic,0,0,91c524b7-800b-4a2c-9859-8d345250ae2b,9413129e-5c33-467b-a2a5-303343495f77
The ache of a life shredded then missed is one of the worst pains imaginable.,Right,independent-journal-review,0,1,6eb2fd2a-4897-4713-b9a7-529ec28009df,1a093447-6aa7-4b24-821d-7ba543724f54
The political West ordered them to walk away from the negotiating table and onto the battlefield.,Right,infowars,1,0,32690e99-7ca7-4c01-a85c-c5681ee03187,557a60a1-463b-4da2-b6f5-154af9dfe276
"The older Falwell was a rabid segregationist in the 1950s and 1960s, railing against Dr. Martin Luther King, Jr. and insisting that Jim Crow laws were God’s will.",Left,alternet,1,0,566ec41f-7ef2-4e93-8dba-0865366a708a,a7b71b5e-1ecb-4269-9f66-5c4f80fb1abe
Google recently updated Google Flights with more information that can help you save money by booking a trip during certain windows of time.,Center,cnbc,0,0,34c8263d-2130-41c0-810a-a8569a1acfab,26714d7b-1c44-46a2-b45c-7fffae9abcda
"The Boeing 787, which took off from London’s Heathrow Airport and landed at New York’s John F. Kennedy Airport, ran on so-called sustainable aviation fuel (SAF).",Center,quartz,1,1,d274e444-6737-4de9-b2e0-f4ea657c20ab,f36a76b6-93ee-484c-9c82-21128da5c7bc
"Human factors, such as land use and drainage, also play a part in whether heavy rain leads to flooding.",Left,alternet,0,0,95a111a9-909a-4b19-bf04-dcc9c78b895a,36a7cd79-30d2-47c0-855e-adcb49ec250e
And the tuition at life’s school of finance is steep: many Treasury bonds purchased in 2020 have now lost half their value because of the change in interest rates.,Lean Right,fox-business,0,0,58244c59-7f79-432b-ad5a-6b99c0fbc30a,c25795db-fa63-4afe-b520-4f1d826b8ba6
"For more options, check out our guide to the best conditioners we reviewed.",Lean Right,new-york-post,0,0,11dab582-4a4e-46f1-8613-9a2fbb318bf4,945efd06-86f1-43cb-8f89-ec82154e71ed
"Too many lack access to affordable, high-speed Internet and to quality housing.",Left,alternet,0,0,2443e60d-18cb-4133-a02d-d47a9603ac8f,4e75b0a8-94ac-48dc-91a0-c1518df283d2
"The outside screen can be used as a view finder for shooting selfies with the main cameras when unfolded, which produces much better results.",Lean Left,the-guardian,0,0,974d8492-c57e-468e-9ae0-af368ba7a1c8,bd0808df-48cd-4700-b478-9d154e36fb05
"CLICK HERE TO GET THE FOX NEWS APP He’s also represented the country for the FIBA U19 World Cup, averaging 9.3 points, 4.6 rebounds and 3.0 assists in two games.",Right,fox-news,0,0,8a4ded76-5803-4c63-9e7f-08d73188df25,c40a5117-0558-4280-8362-a5ec4fe6ae2f
Acheson Hotels had the potential to be a significant standing case.,Lean Right,reason,0,0,8688f93b-6515-43a1-8c86-8bcefb6e31a3,879c4858-6208-40a2-8182-0aed7b51f572
"The problem has become much bigger, and the solutions are far-fetched.",Lean Left,the-economist,1,1,f9cf88a4-6937-449e-96af-339c5eb5d786,4ea5bc1b-0573-4759-8a0c-cdf7b791d8d8
"He was a very ethical person, but he also had a brilliantly abstracted philosophical way of looking at everything he was involved with, and that can lead you to pretty strange places.",Left,the-atlantic,1,0,4b8a3e31-9c68-4f16-924d-5e26de58785c,060db8d3-48d5-483c-9c53-c7435ab3e773
"Florida is also a right-to-work state, meaning that union membership is not a requirement for employment.",Right,newsmax,0,0,3e29d7b8-cb37-444d-88d1-70388bb69a04,294317fd-9b1a-42a1-a751-598b7d17f8e6
"Available in green, red, and smoked, the 5-ounce bottles sell for $11 each.",Right,national-catholic-register,0,0,1c9bf363-fe35-4d80-bc01-50f2c7996c85,28acca2e-e33c-40cc-9e70-71a82f22ae9d
"According to local media, Loftis made the decision because the company has been becoming more political and more involved in left-leaning activism.",Lean Right,just-the-news,0,0,8feb535f-be4c-4b83-a1c9-a93b89a6a39f,bd1dbc76-7f7f-482c-ad80-5f6a53e2b0fb
"Tasked, fatefully, with evaluating the programme’s effectiveness, he became fascinated with how a bureaucracy’s culture can undermine its objectives.",Lean Left,the-economist,1,1,f841e976-8f69-4e00-b21e-62628d461527,aab9aa43-cbe4-4f9d-bd10-d1d39575cb78
"But as Fisher said in her speech at the Riverkeeper Ball, hers is just one company.",Left,alternet,0,0,da48fa24-61c0-4f61-a1d1-c4d28e671901,2949a203-181c-4681-9f4b-c293691b4ddd
"Attending the COP26 summit in Glasgow two years ago, Modi unveiled India’s five-step ‘Panchamrit’ strategy against climate change, and announced New Delhi’s ambitious plan to attain net-zero status.",Lean Right,rt,0,0,e2625ac1-8da2-45e5-85cb-8198bf1727c3,197eb461-add9-46a9-b123-bfb7bbfa83ce
The Salvation Army has been accused of discriminating against LGBT people and of being infiltrated by progressivism.,Lean Right,christianity-today,0,1,cbb098ba-5c2a-45ca-8902-6a0c647cae0a,5da37520-7ad2-4b37-871f-181da014e52c
American forces withdrew in 2011 but returned in smaller numbers in 2014 to help beat back Islamic State after it captured swathes of Iraq and Syria (see chart).,Lean Left,the-economist,0,0,83d7180b-578d-4a4a-8b95-5ed90598240f,53b6fcf0-d457-4154-b7e2-0e7edf66720f
"Just very recently, within the past couple of years, the first ever human-procured image of a black hole showed us what we expected to see of the event horizon.",Center,wired,1,0,10f079d8-c5ad-46ba-8669-d00f2da8b369,4a4a19ec-aba8-4a1d-a939-701532285c4b
"Jayapal claimed she has spoken out against Hamas' atrocities, specifically against women, and quickly turned the conversation back to Israel.",Lean Right,fox-business,1,0,c2036c45-50fb-4680-88a8-2c5e05399648,8aead76f-2dba-4209-a86c-0aad5296a746
"The likelihood of that process repeating as the climate warms is now inevitable, said Amber Soja, a scientist who has examined the migration of ancient civilizations in north Asia as a research fellow at the NASA Langley Research Center in Virginia.",Left,alternet,0,0,c136207e-e4b2-4278-8676-efda7f390ae3,0916caf1-306b-4f0a-89e7-7ad4999039be
Our guide to gifts for everyone on your list that ring in under $100.,Left,vogue,0,0,8f59cc8e-b6d4-4906-9aa4-62b19a246b3c,a5bf0ae1-dffd-48c6-98c6-432a6da7a786
"[With regard to] the rocket that crossed into Poland, it’s clear that this was a Ukrainian rocket - not a Russian rocket.",Lean Right,rt,0,0,d1fd1737-c5a4-4c19-a477-ffde6030983e,f71bb439-a80c-4e38-b6e8-2c3917f4b980
"We who love Him should love and bless and help our Jewish brethren, and this includes praying for the salvation of all Israel!",Right,wnd,1,0,78c05feb-dfd3-4d9d-8ab9-6ad9c43d2951,d2e9a1ec-08c5-4222-8172-c63997773646
"The current heightened competition for places at elite schools has, as expected, encouraged innovation.",Right,american-thinker,0,0,26e4b5f1-0baf-45ec-ad52-c1f7da288d5f,e517de10-85b8-4273-b392-3495a70f4af5
It can be no coincidence that those who have pieced together and promoted the prevailing narrative are hostile to new information coming to light.,Right,american-greatness,1,0,cb033028-f983-4202-85d9-30f600b04ceb,48a6d868-2950-4b96-9cde-4d488a032530
"Court documents and testimony, together with dozens of interviews with experts and associates of the Esformeses, offer a vivid tale of how Morris and Philip, by exploiting the perverse incentives of the health care system, had managed to turn society’s failure to ensure proper care for the elderly, the mentally ill, the addicted, and the unhoused into an engine of enormous profit.",Left,mother-jones,1,0,144c1dff-4c7e-4320-bd09-53b05aebe9e4,5b305d9e-61a3-4946-8f58-64ec170c48d6
"With the exception of free trade, Trump’s last term largely served the super-wealthy’s interests in economic matters - passing a massive regressive tax cut and slashing environmental regulations.",Left,vox,1,0,340288a5-d64c-4d6a-b8df-18784616eb7e,0cc558c2-f3eb-4d4f-aaa9-ca30ce39536e
"PLAYING CHICKEN WITH THE CLIMATE When American leaders were previously confronted with rapidly growing emissions from the developing world, they largely responded to the challenge by pointing fingers.",Center,foreign-affairs,1,0,19db2b26-bdcf-412f-ab3b-dcb5a73aaa98,3f57f6fd-2081-42c8-b7f5-ec48d133a132
"The Council Fathers overwhelmingly recognized that if the Church wanted to proclaim the Gospel to the modern world, she would need to make better use of the powerful and varied means of mass communication.",Right,national-catholic-register,0,0,40bcd129-4701-4c49-9a80-d17615888717,0a99bcf3-e640-4ca9-b5ec-30d41155479b
Whether war happens will now boil down to whether bickering between Israeli political parties and individual officials will cause Tel Aviv to adopt a belligerent approach and push forward with gas production in the disputed fields before an agreement is reached.,Lean Right,rt,1,0,46e6c68f-c8f6-4253-8abd-128bf8bdcfed,fa0fed20-9e3b-4276-8231-0e2248fd327f
"So, we didn't know this, but they told us that when they have beauty products, creams and so on, they want to show their customers or their consumers how the product feels when you put it on, how does it feel in a sort of watered environment.",Left,vogue,0,0,d5682875-6f3b-418a-8874-c7920e9f5224,d62f4c43-e114-4390-8691-dac1aef39e16
Staffing in New York City jails has plummeted by about 25% from two years ago.,Lean Right,new-york-post,0,0,e94fccc9-254f-4a3d-84cb-f69df7b94b7b,3ca8bc3c-90b2-4cb1-b7c8-7e23e7fe4bda
"The Spartans got off to a slow start, missed open shots from behind the arc and trailed the Badgers by 11 points at halftime.",Center,detroit-news,0,0,d2aae680-67b1-4d91-957f-c7375a96f6e1,0ccfd40c-e463-4bb0-8334-eb68eb8e9058
"The film is not a biopic of Napoleon, nor is it a film about the Napoleonic Wars or the French Revolution.",Right,the-federalist,0,0,785c3548-493d-4193-a306-2b21ba924a9e,4967c478-2191-4891-998c-12bc0cf529fa
It suggests that there’s nothing else that you can compete with.,Lean Left,politico,1,0,921c004f-7d9e-4765-88b0-956991361523,99fc5bcb-45a3-4c86-bb10-2050946b0ad3
"Mr. Tedros is engaged in supporting his organization’s crusade against alternative nicotine products, which are helping people who smoke to quit in their millions worldwide.",Lean Right,washington-times,1,0,0a294e6e-b2be-4c29-b261-8d95f01aa945,cec5e5f5-677d-404b-a50d-0d54389e97dc
"Speaker Mike Johnson, Louisiana Republican, must also order the Clerk of the House to notify New York Gov.",Lean Right,washington-times,0,0,3d9926a4-9fae-4f00-bf21-8409bdbe9f33,5376cc0b-c0ff-456f-a22c-6dfc8038af56
"State Department spokesman Matthew Miller suggested that Hamas was refusing to release the remaining female hostages held in Gaza because the terrorist group doesn’t want them to speak about what they endured while held as hostages, according to Axios.",Right,independent-journal-review,1,1,0d428a22-ee75-4827-8a91-6806658d7d35,b2887502-135d-4eae-abb3-f703dc1197b9
"And in the case of an earthquake, the ripples aren’t traveling through a homogenous medium like water, but through solid rock that comes in different shapes, sizes, densities, and arrangements.",Left,vox,0,0,33d00fe1-dcff-42eb-9d6c-30a811ce9794,101b097e-fe79-4b5a-93b9-91dbbfa3bb3a
The Downsides of Argan Oil There are very few downsides to using argan oil on your hair and scalp.,Left,vogue,0,0,723381d9-d1e4-444a-a60d-fae8ae4c2cdc,fded93c1-0bec-4d87-913d-3e14134be9a3
Photograph: Tom Jenkins/The Guardian Barkley looked like he was playing with his own ball at times.,Lean Left,the-guardian,0,1,d712e882-a023-433a-982f-16b5c47805b9,bec0b925-29bb-4442-9389-91126a689cf3
"Any moment, it seems, might mark the end of the old world and the beginning of a new, liberated one-a hope that will prove sadly mistaken in the oncoming reactionary aftermath.",Left,current-affairs,1,0,56018c97-98ca-4b61-8c65-21e2414fd9fd,8caba2b6-b8a8-4305-90b9-c1c8b3aa1c1c
And they claim the full impact of their policies is not being felt by average Americans.,Right,newsbusters,1,0,8d654986-76b7-4c61-b253-95115e6e7125,71c28470-7a5f-4191-9229-836069029828
"After two games, the World Series is heading to Atlanta tied at one game apiece.",Lean Right,fox-business,0,0,c6b3d72c-289c-4cc8-9824-12d1898308a0,6518786c-6ae9-4103-9487-4cd540831868
"Are they opportunists who feel mouthing anti-Western shibboleths gains them career traction in leftist-run media, academia, and popular culture?",Right,townhall,1,0,22992345-5869-400e-9146-c2d016e3cbac,1112c1a3-ee65-419e-8106-b4c6deade223
"If you could teach a horse to read and write, it would be a good thing; but you cannot do that.",Left,the-atlantic,0,0,68b130ac-5ae3-418c-b574-2f91ea182025,1351f38f-e00c-4e1a-82eb-849fa1a4f5d5
"Since Microsoft bought Minecraft for $2.5 billion in 2014, the company has produced a series of ambitious spin-off titles, including the point-and-click adventure Minecraft: Story Mode and the Pokémon Go inspired Minecraft Earth.",Lean Left,the-independent,0,0,48a9ca65-de1b-4fb7-9757-1c27bba2cc15,711c1bcb-5ab6-4b46-baa0-c2e833e3f2f9
"We’re loath to give the Council, which already abuses the power it has by, for example, blocking worthy real estate development, more freedom to extract concessions and veto bold choices.",Left,new-york-daily-news,1,0,3a0c198b-f21f-4bea-84d2-cd0b32aa05d4,718727d5-f9dc-4fc6-a2e1-36014245fd22
Here’s the first video in the unlikely event you’ve never seen it: You can find the sequels here.,Right,american-thinker,0,0,d40ed76e-faa1-436a-9996-16d90390f5ca,e29d28ba-93fe-4627-945d-42a7f978175c
"CLICK HERE TO GET THE FOX NEWS APP These calendars may have 24 gifts, or a smaller number - such as 12 or 6.",Right,fox-news,0,0,72e38b72-487f-4718-a89b-51a00c892122,dafdeca1-19e7-45b5-aa0e-97c9d4396fd7
"They sometimes ignore, and often aid and participate in terrorism and crime.",Right,american-thinker,1,0,5c25748c-062a-4b04-8a5f-35d3189b8caa,05b07c53-f15e-4cfd-b2e4-8710a30ff5b4
