text,source_party,source_name,bias_estimate,model_uncertainity,sentence_id,article_id
"A top Biden campaign adviser argued that donors often question the administration’s policies, and told Politico that many big contributors have actually commended the president’s handling of the war.",Right,wnd,0,0,e7204f96-c767-4bf3-b278-49d2b411c93f,6aa7ac19-44f6-4f9a-9c9c-46aefc5bceeb
"The results are in and Oxford’s 2023 word of the year is... I’m Tomi Lahren, find out next!",Right,fox-news,0,0,4746018b-163a-4e51-b8d3-29124dd1656a,0257e14c-6756-40ea-a45c-82ff9a36e24c
"Payment firms will be required to publish the information on their websites within 20 days, which will give consumers greater transparency, the regulator said.",Lean Left,the-independent,0,0,aefc87b2-ec4e-4c01-b701-bb5fc6dd6c22,9432ca3c-56af-4d39-9e03-793748e8e5e4
"And then lastly, we wanna make sure that you have muscle relaxation and paralysis.",Center,wired,1,0,780810e7-e2ba-4731-9768-32746d4369dc,8d3f817c-0221-4489-bd54-1f1dcd7d55bf
We know President X could not be criminally prosecuted while in office.,Right,townhall,0,1,a64a34e3-b624-4134-b079-49403e61a28e,e12f46c2-ec36-41c2-946b-0091c67c453c
The LGBTQ woman praised Trump because her investments have increased in value and the price of gas has come down.,Left,alternet,0,0,bab5b1ee-abd0-4833-bd58-57ae31605b2e,5606df20-5da7-422c-b7c4-2d3017588ff5
Do you think John Kerry floated an air biscuit in this case?,Right,wnd,1,0,632fec5a-2f9c-443d-8680-c0f8e0e21bb9,fbc50ce5-e00d-4e2d-953e-9625692ad4eb
"In fact, it turns out that Thomas Sowell is not very interested in serious empirical evidence at all.",Left,current-affairs,1,0,c05df69e-2b30-47e2-8812-7dad4ecceeb4,e77b9a6f-ca46-4022-b12b-7b05783eb0a4
"But Trump, who has been divorced twice and is now under indictment as part of an alleged scheme to pay hush money to a porn star, has shown resilience with evangelicals, who credit him for a series of conservative policy victories including the U.S. Supreme Court’s decision overturning federal abortion protections.",Left,alternet,0,1,6b6bc88c-4dd8-4d91-904c-556a8b150e78,6197e73c-474a-4c73-853a-8712aedf48f2
"But if you're looking to subscribe to a meal kit on a budget, EveryPlate just might do.",Lean Left,usa-today,0,0,4349001c-2179-4826-bc28-3f8990a9f16f,a7db0feb-1bf3-41f4-8091-c77c71ffe2c0
"Instead of using traditional campaign methods this time, however, he’s opted to go on I’m a Celebrity - because, in light of Matt Hancock’s redemption tour last year, what better way to curry favour and secure national treasure status than to eat camel penis on primetime TV?",Lean Left,the-independent,1,0,60b3f00d-ea57-46aa-80ba-d99c9e3c44f7,eefd2ab4-9d5f-4d64-ab85-5192f6bc3782
"Thus, he is attempting to save face, at least with the Washington establishment, by giving them another weapon in the arsenal to sabotage Trump’s third presidential bid.",Right,american-greatness,1,0,f02e66dc-fcb6-4f58-be12-187fb2a76911,4ba85678-4e65-48b1-83ca-13c04b28734b
Many thought that China would not keep its two-systems promise unless the people had clear ways of standing up for themselves.,Lean Left,the-economist,0,0,e6e04d6d-ee94-4f85-9152-60eaf0c9499e,2de58e8e-cbec-47a4-9fa3-57db6a173f8b
"Wells draw water from deep underground, turning the parched earth into verdant farmland.",Left,alternet,1,0,b76d0a74-e755-4df4-9c4d-df5c41a3b7fd,72890e32-d594-4396-8875-4c6b00b929de
These proposed reforms do nothing to solve the critical problem of political abuse.,Lean Right,washington-times,0,1,0ce01ceb-5b68-4c78-8cd0-7fefddc14a2f,c70703d2-42bb-4b65-8493-de972e4dfab4
Jenisha: She’s so clear on what happened and has a different version.,Left,the-atlantic,0,0,893e47ff-0f12-4ed0-9f79-1112804a3075,cb857598-dab0-4391-86f9-10bfd54e66bf
"In 2008, UNICEF began monitoring violations against children in the region.",Lean Left,al-jazeera,0,0,99a96acd-593c-48e0-a5d4-ce5d7ca2bb03,33fa36bb-bf46-4b91-be32-daab0506a9ab
"Let me be clear: Calls for violence or genocide against the Jewish community, or any religious or ethnic group are vile, they have no place at Harvard, and those who threaten our Jewish students will be held to account,"" Gay said in her post on Harvard’s X account.",Right,fox-news,1,0,4621cfe5-71e0-41c9-b838-96917bc114aa,189ac592-840d-41f4-b754-2c1748c6a782
"Park City’s Cameron Wilson led with 13 points, followed by Bridger Lapine with 10 points and three 3-pointers.",Center,deseret-news,0,0,17da6ff3-7312-479b-ad7f-bd5d4abd8e86,39bb238f-2f5e-4f50-9011-1aae73ffa75c
Hahn sought out the Black men and women who shaped Reconstruction at the state and local levels.,Left,the-atlantic,0,0,052ca65f-d98e-46f9-8270-114ee5a0be19,7b64dd86-2e68-401a-aa21-922e599fa56b
"According to Study Finds, experts say that 40% of the population don’t get enough sleep, which increases the risk for cardiovascular disease, obesity, neurogenerative disorders, and even depression.",Right,newsmax,0,0,a3e9e4ec-cc9a-4be8-9d67-4a485e335a6b,1e6cae7b-31d1-4919-b0d9-ee80808edbc8
"But like Timmons, they usually know little-to-nothing about the downside of the coverage.",Lean Left,truthout,1,0,ab63e123-e398-4178-ab49-9f20c5a90018,c5d32329-a42d-400e-8669-6bc7e44e3ea8
"Futures studies incorporates economics, social science, the natural sciences, political theory, and more.",Center,quartz,0,0,bd7902b6-9d71-4f99-bad5-4bd078cdc7dd,17e8afe0-5cd3-4176-bed4-af82bbc512b7
"Possibly, his mere celebrity presence and oratory skills overawed his audiences.",Center,foreign-affairs,1,0,d26bb29b-9a87-4898-bf6b-82b9a709d9dd,1f017fe3-25e1-444b-96b1-c4ac73ea08c1
"Thanks to Mrs. Trump for inviting our family to the White House to see the Christmas decorations and our old friends, the residence staff.""",Right,newsmax,0,0,772caa20-61b7-4186-9b6b-698887b8345d,f98159f4-9b16-46d1-b5c6-b1f0bb83791f
"Lear received four Emmys and a Peabody for the series, which reached younger viewers over the years through cable reruns.",Center,cnbc,0,0,3e8477cd-d5de-4563-ab7b-debcdb095af8,221ee053-6551-4128-9a23-d35ae2e2d021
"One guild that will not be included: the Directors Guild of America, which ratified a contract last month.",Left,alternet,0,0,9ba1ab32-1bb6-4c82-b9d8-40b8c23e4fc1,661d092a-df6e-46ca-b36e-0e7f6b959aca
"Experts who study FDA decision-making see a troubling pattern in which the beleaguered agency is continually pressured to accept weaker evidence, damaging its scientific credibility and opening the door to ineffective treatments.",Right,newsmax,1,0,a07ed031-6168-408b-87f7-ff95bd0f09dc,5fbdd30a-3fa7-4615-b915-c4365f4418d8
Judicial Watch EXCLUSIVE: Tom Fitton Blows the Lid off the !,Lean Right,judicial-watch,1,0,782d8d18-2108-43e0-9091-a97998357d47,9262560c-a305-4197-a011-6cb1167deaeb
"While the president continues to row the boat in the wrong direction, he has been somewhat fortunate that the Fed’s interest rate hikes have cooled inflation a bit, but these hikes have come at a significant cost.",Lean Right,fox-business,1,0,d4622c24-1ff3-44a7-a51a-9bda8541b4ae,a769a879-101f-4841-a7ac-71103354c2a5
"As both sides tensely await the court’s decision this month in a Missouri case challenging the 1973 ruling that established the right to abortion, their mutual uncertainty over O’Connor’s course is the perfect illustration of how opaque a figure she remains.",Left,daily-kos,1,1,7759339d-9af2-43ea-8031-76bebacb06ef,c5389a6a-c7e1-4245-bd5f-14f2cc3bd435
"But none of that would capture the vague sense of dread one encounters these days in the Jewish community, a dread unprecedented in my lifetime.",Left,the-atlantic,1,1,c83cab8c-41ba-4f1e-b573-d190e22b306e,5826c168-9ee6-485b-9ae1-95f9ecd50551
We want to make sure that we have a presence here in the National Mall.,Right,newsbusters,0,0,c70597a7-ffa2-47e8-ac14-cb74d84853dc,ee84462e-f880-4898-8df9-c179d2f6c7a9
"She really surprised me in the way she called other candidates out on, basically, untruths they were saying on stage.",Left,the-atlantic,1,1,659f4888-3420-4360-b1cf-a2895d03020e,f28f0c44-d335-44db-becd-5e886fb24355
Hiro won an Oscar for that job; a feat he repeated two years later by transforming John Lithgow into Roger Ailes.,Lean Left,the-guardian,0,0,6c73dc91-5b99-4706-aa85-b44825d9fd8c,0ebeaa25-eefc-451a-a929-5c57cdb9179d
Don’t forget to claim your new player welcome bonus when depositing.,Right,newsmax,0,0,db83625d-ff4a-4321-ba43-9ac52a3621c7,c758f4bb-d4c4-4c37-985e-1f1f026ac925
The Monday announcement comes 10 days after the government said the fiscal 2023 budget deficit would be about $1.7 trillion.,Center,cnbc,0,0,89476c44-7291-4387-bef2-c2f02d49b09f,6770478d-14ad-4b0e-bd1f-391ce873cbd0
"Bryce Mella spearheaded the Bruins’ comeback scoring a total of 23 points, while Hunter Kaopua added 14 points, including three 3-pointers.",Center,deseret-news,0,0,1e7a41ab-89b3-4777-a28e-a114997b9967,39bb238f-2f5e-4f50-9011-1aae73ffa75c
"So you've actually taken one thing and using just pretty normal operations to it, you can double it, which seems pretty implausible in real life.",Center,wired,1,1,a1520e29-253e-49e0-aae7-7863206b2bbc,61ac0c7a-a640-46c2-a4f2-07751946eb73
"If shorter weeks drive employers to squeeze as much productivity as they can out of the remaining time their employees are on the clock, and technologies for employee surveillance continue their Orwellian development, more leisure time could paradoxically come at the cost of less freedom at work.",Left,vox,1,0,c6525989-3681-4e63-9774-555b40f7b130,3783a555-84c8-4fd7-a574-50b05cff01a8
"What’s more, the revised version of the Times’s story does not let readers know that Ukraine’s top war crimes prosecutor estimated in February the real civilian death toll may be as high as 100,000, but nothing will be certain until Ukraine liberates the territory the Kremlin now holds, enabling a full investigation to proceed.",Right,washington-free-beacon,0,0,0ba59d21-ddaf-44ea-8bbb-b82849c0e888,9fb06e3b-743d-44a4-aefe-a8b42188e8e4
God will be all in all not because God has evolved or changed or grown more self-aware or been successively supplanted by gradually better and more inclusive gods.,Right,national-catholic-register,1,0,71c26258-36a1-4da9-b128-ed8d52083b71,38b611be-2d15-48e5-98e0-ef0b6c3d1ccd
"They are a distraction from the bona fide alien-hunting work - the sort that doesn’t involve grandstanding individuals and showy stunts, but scientists searching a sea of stars for the sounds or sights of extraterrestrial intelligence.",Left,vox,1,0,fd869961-07e0-41f1-8109-a14eaeb22567,7528d321-b311-4ba1-9ca7-cba6319b5133
"I’ll still watch the rest of the specials, and I’m looking forward to seeing what Gatwa does with the role.",Lean Left,the-independent,0,0,314b8bf5-3466-4cff-b88e-45131fd84f39,ae824961-877f-4b2f-a36a-6846b57c25fc
"Yet he’s pushing himself to speak up - with encouragement from Becca AbuRakia-Einhorn, his Jewish American wife.",Center,christian-science-monitor,0,0,2b9cdfb3-0d37-4c9e-9dda-6496cc10fc54,3b9aeb6c-701b-4ddc-b428-c1db0780eb2d
"Crafted with high-quality stainless steel, it ensures effortless slicing, becoming an indispensable tool for professional chefs and home cooks alike.",Lean Right,new-york-post,0,1,77a2babc-fcf9-4e9f-b8c9-890d200f17ac,8d3f9af4-9cbb-4a41-8edc-e2a338de3cc1
"The most relevant criticism of it in regards to Kissinger himself would be the standard insight from public choice theory: Statesmen and diplomats, like everyone else, are selfish individuals with no special ability to perceive and work toward a national interest separate from their own.",Lean Right,reason,1,0,53e06ade-34b7-4018-bbc7-f1876d0a9c38,a0d3fa50-2e7a-40e9-badf-8439f7c315fd
"One is the market in urban land; the other, the anti-competitive economics of the modern economy, and particularly of the digital-technology businesses that increasingly dominate it.",Lean Left,the-economist,1,1,d2706abe-8843-495e-b282-375e65223772,7ec37dc1-5263-425b-93df-8ca65fdd70b1
It was time for the educated middle class to set the rules of politics.,Right,american-thinker,1,0,a6282655-93ef-4ca0-86b0-27976c5eb89a,406ef044-35e6-4f82-b32a-4cd3002f8e87
"He could have easily appointed lickspittle, family, and allies to these positions, but this was not his way.",Right,newsmax,1,0,0bdc1bdb-f09a-451c-ad0d-5b305a28c78f,82640db5-af07-4ee3-ae0c-5e692c486ab6
"Other masterpieces include the scallop, Miyazaki beef sirloin and Satsumaimo (sweet potato), complementing each other with varied flavours and tender textures.",Left,vogue,0,0,3fb1a1cf-95ae-4972-99c9-a4e1bcbf94b6,5edcbef2-ba90-43fe-8cad-066606ad5e64
"Stephen Cliffgard Lee, Harrison William Prescott Floyd, Trevian C. Kutti According to the indictment, Lee, Floyd and Kutti attempted to influence the testimony of Ruby Freeman, a Fulton County election worker, before the grand jury.",Left,alternet,0,0,a4b96d6e-b0df-4c98-9470-2ab4e23f9c0d,d34859f7-7071-4f28-a350-1de180a0ff2e
Mad Max: Fury Road (2015) The religious imagery of this post-apoc film is beautiful.,Right,newsmax,0,0,06d9e6a4-a3e6-48cb-9555-939c44cf9393,a3ae83c4-f254-4ffa-8568-8cf880b4a8e6
Denise wants to know what she did to Erika to make her hate her.,Left,new-york-magazine,1,0,3935f26e-5da5-49b4-9fdb-1ff1af981bff,721099c4-d727-4a0e-8c4c-3ca77dc52ff9
The teeny-tiny flaw in your plan: that you’re hyper-focused on all the things that haven’t worked out.,Left,vogue,1,0,d6192472-532e-49ca-bff2-65ad22290887,fcd94115-202c-438e-8537-9854bc685043
"The incident bolstered hawks in America gunning for a more assertive US policy toward China (though, under Biden, like Trump, the policy has already been pretty hawkish).",Left,vox,1,0,a5d2c9ac-8d2f-44f9-abfb-bdd8113e475f,23521925-3d21-4b6e-b399-00839628aa9b
"With COVID still quite new, the exact specifics of respiratory-virus season will probably continue to change for a good while yet.",Left,the-atlantic,0,0,7831d0c0-180e-4dd9-8c24-f14f135cad91,1c5fd5a7-c7e3-443c-b186-e5ea178b6a54
"You see, skepticism can always, and conveniently, produce an escape mechanism.",Lean Right,the-christian-post,1,0,5c65bc30-f8fe-4f41-b6ab-0de71916643c,a16045d2-0897-47d2-8201-7041304e7e6f
You'll also want to take care of your bedding so it stays in good shape and helps protect your mattress.,Center,cnet,0,0,749ec25b-d4d0-482e-ab05-e8914de6ef1a,14dc5c64-3c40-47fc-9945-228c07781dac
"He was an archcritic of President Bill Clinton's intervention in Kosovo, for instance.",Lean Right,reason,1,1,631ba644-dd11-45bb-a042-f9a2df1ea80c,a0d3fa50-2e7a-40e9-badf-8439f7c315fd
"In the future, I’m not sure we’ll be so quick to take our children out of school for a trip we can easily reschedule.",Lean Left,usa-today,0,0,e6f75d00-9209-4263-889f-1b3e7964f1d7,23cb3d1a-baaf-46c7-8761-c3e850c0fe06
SERVES: 12 INGREDIENTS 1 pack King’s Hawaiian Sweet Slider Buns 1 jar Rao's Homemade Pizza Sauce 9 slices fresh mozzarella 1 bag grated mozzarella 1 bag pepperoni 1 bottle crushed red pepper 3 tbsp butter 1 tsp Italian seasoning 1 1/2 tsp garlic powder 1 bag grated Parmesan cheese PREPARATION 1.,Right,fox-news,0,0,0e40d0c6-bd46-4468-91b2-7a65f7c4c311,1b67937c-7d7f-4476-90e8-e27459493237
"And his friend-turns out the Indian family in the town, we were the Chinese family in the town-said, Why don’t you come move to South Carolina?",Center,fortune,0,0,3d5a341f-7343-4826-b4c2-02fec1c318f8,02adc114-95f3-4493-87fd-4b069bc8858d
"It's mostly turbocharging workers who are bad at their jobs, while doing little to aid - or even hindering - those who are already productive to begin with.",Lean Left,insider,1,0,6c8ffff0-fa23-4cb4-bc25-02955e4ec92d,1fa0b567-7544-459c-a3ef-bc42e2f74184
"Earlier in the evening, the man had picked up ingredients on the way back to his place: Colombian coffee, two bottles of Chianti, limes, a headless trout, and a block of feta cheese.",Left,the-atlantic,0,0,947ada4d-fb74-4cdd-b407-09c096119c5b,506a4918-99ee-4a80-83a3-339f1b08b3e9
Yet years ago they abandoned any coherent policy of water supply.,Lean Left,the-economist,1,1,034177fb-1472-498c-baec-b0ddd2883095,4b743f85-f019-4bc2-a173-1b95d77e028c
"It’s more comfortable, more powerful, easier to figure out, more pleasant to use for long stretches, and just flat-out better.",Lean Left,the-verge,1,0,91de6a71-e7a0-4e3f-aa2b-b30c7d6f2813,77ef3062-2553-4f83-aecf-38e36613721f
"I’d seen Red Light, Green Light (a twisted version of Grandmother’s Footsteps) in the Korean TV phenomenon Squid Game.",Lean Left,the-guardian,1,0,e860033e-6309-4cfe-b74d-fa86598b7daf,60127dc3-e044-4c7e-a041-f784b8a0490e
"As such, a lack of clean cooking contributes to 3.7 million premature deaths annually around the world, with women and children most at risk.",Center,fortune,0,0,f9085053-0d8d-4e34-a814-9502f771ab52,e53756dc-8edd-409a-812e-8bbd5ec884d5
"In classic Boratic fashion, the mockumentary follows the wacky duo on a cavalcade across Trump’s America, filming candid performances by unsuspecting characters ranging from QAnon believers to Republican activists to prim debutantes, all the way to Giuliani himself.",Center,wired,1,0,0a26d04a-f281-43ab-a184-c7e8d982454d,4c9a339a-4c2d-4ab9-b21c-318fcadae3d8
"Throughout the long synodal process, whenever a divergence from Catholic teaching was proposed, Newman’s name was surely to be invoked in the manner of an ancient superstition.",Right,national-catholic-register,1,0,cb41ce8c-9343-4544-8da7-92b9de18f06d,def64eaa-a194-433f-a9c4-76917273e5d9
"Dissenting ministers and military officers were shown the door, went into exile, or disappeared.",Center,foreign-affairs,1,1,3cdd45ce-f1f6-4546-ae7d-f92f5c5dc658,8dc29db3-de8f-474f-8bf1-66815162acb2
It also shows me they give a damn about telling the most accurate story.,Center,poynter,1,0,b41c86bf-ca26-4a44-bf6e-1cf111b0a87d,d5e05c8f-4495-4517-8cbb-0b88f63dd6e3
"Kohler, a mother of two, said her family was able to escape, but like 16 other firefighters in Lahaina, she lost her home.",Lean Left,cbs-news,0,0,00b11798-f09a-4c57-8453-f29a36109704,944e3212-8758-4e18-9336-6b6457c511ea
"China in particular has cut its holdings strongly, pulling back 17% during the period.",Center,cnbc,0,0,06eaecf3-fef4-4ca2-adc5-7c3975fb66c5,35d3cd55-8a84-4aef-b6f7-a9377fd3d247
Or did Ramos wait for the holiday to drop his column?,Right,newsbusters,1,0,58c7ff88-859f-4dd4-a6d5-22643a9c24a9,017695ca-81f9-4e1d-b35f-a3d499eb7fb0
"For a while, we had faith in Freda's leadership and believed that he could turn around the business by capitalizing on the China trade, a key long-term growth market for the beauty brand.",Center,cnbc,0,0,264195dd-b74f-407c-ad6f-cbcc1d431028,df27c7ea-aa31-4a0b-b96e-bc14ec4752ce
The papers were full of fearful stories about single women choosing to have and raise children alone.,Lean Left,the-guardian,1,1,b4e21701-c1b6-4428-b174-04562ab33087,75b5eb07-4237-4b5f-a304-8099baa6ba4e
"(Implats via AP) The death toll from a mining tragedy last week in South Africa that involved an elevator at a mine has risen to 13 after a worker died at a hospital JOHANNESBURG -- The death toll from a mining tragedy last week in South Africa that involved an elevator has risen to 13 people after a worker died at a hospital, the mine operator said Monday.",Lean Left,abc-news,0,0,37f07ab9-e72b-4a36-886e-b5ebedae4f0b,c65221b2-280f-40d8-aa04-5ceb9a980e4a
"Biden, as some have pointed out, does not enjoy the usual advantages of incumbency.",Left,alternet,0,0,a4fa4b45-362e-4477-9e63-2126045df49b,055d0614-9495-4732-90b0-3cf60c90a213
No one will celebrate harder if he pulls it off in 2024.,Right,townhall,1,1,2092f02e-3c21-48d6-85ba-297f24a0472f,0d284009-a1f2-4999-bd6a-beb2834b3e24
"They would happily vote for hollow border concessions to make it look like they’re standing strong, while really they’re just tacking a fig leaf onto more money for foreign wars.",Right,fox-news,1,0,7bdedbec-d8fb-4551-9765-e95d74ee0b33,271f82bd-d9bc-43e2-8c78-02e1da624d4d
"Whitney, the tallest peak in the continental United States, starting the 22-mile hike at 3 a.m. and unfurling an American flag at the 14,494-foot summit by lunchtime.",Center,christian-science-monitor,0,0,0cbebb9c-b994-41a4-a36e-143b0ce18120,145adabb-a20f-48bd-bf44-dcd9c443b167
We’re working to change the way the media covers the Supreme Court.,Left,slate,0,0,4998c17d-cca6-4a99-b941-ed47304e1b67,9bc3698a-fd65-4125-80da-a9c10df8de1c
"Curiously, he’d recreated the more accurate pronunciation of this word by accident a whole year earlier, during that nerve-shredding period when he hadn’t quite mastered the ‘tr’ digraph, pronouncing it with an ‘f’ instead.",Lean Left,the-guardian,1,0,836c2c9e-1d2d-43c5-befb-319ffa853bac,658e9358-ba55-4014-b0e8-07d84088fd66
"With her, Wharton does something new: She tries to imagine a fate for an extraordinary individual in conventional 1870s society that isn’t ultimately tragic.",Left,the-atlantic,0,0,64fa7497-150c-4be3-ad31-af951b4158bc,bc3a3687-cebe-4404-b4b4-6fe59af40d73
"That's making observers, citizens, and experts nervous that Trump may be preparing to stage a coup of some sort, or perhaps call again on his supporters to commit violence to sustain his rule.",Left,alternet,1,0,8981f178-49f5-4caf-b04e-cec014954b98,35df38f4-816e-4ecd-94be-365bc4d718f9
"This is a big, spacious novel you can immerse yourself in.",Lean Left,the-guardian,0,1,b9ef0ddc-07b5-4663-b52e-f24366bea049,9b620074-bf9f-4e5c-9d2c-a4a0988b2513
It will make the war end more quickly when the murderers realize that they have lost their fans in the West.,Right,townhall,1,0,fd933186-676c-4eb0-a763-1dff69c47193,2a898788-af8a-4be1-aa1e-690b37e3aac0
"They are rent-seekers, whose aim is to own the very platform on which other people do the work.",Lean Left,the-guardian,1,0,c3c4b303-97e0-4076-82fe-a261320e9f2c,8138f59e-9157-4adb-9cb2-79533f6edb89
"But years later, when Randy relocates to Palm Beach and becomes a major donor to Donald Trump’s presidential campaign, it will make a certain amount of sense that his earliest known media investment was conceived as a giant middle finger to the journalistic establishment.",Left,the-atlantic,1,0,95a05e0c-84ba-4632-b5af-38f1e068a22f,69261e11-c725-4ead-b77d-27746a071f98
"His commissioner for children's rights, Maria Lvova-Belova, said she herself adopted a 15-year-old Ukrainian boy from the occupied city of Mariupol.",Lean Left,cbs-news,0,0,e35492c8-f5b2-410d-b986-b402d66a7b0e,11fe06d5-418e-4e8d-94f4-71819abcab31
"Santos had a broken leg and went through multiple surgeries, but was released on Nov. 11.",Right,fox-news,0,0,69dfb1c4-12da-4ae2-9ec5-c5f6ee32e8de,28129b63-a14e-47f8-903e-35c87485c11c
"Not only does OneMain Financial give you this option, but doing so also lets you potentially receive an even lower interest rate.",Center,cnbc,0,0,10e6ad7d-abc8-44f0-ade7-4cb84617973b,f93becbe-f647-47e9-8e84-e95f2a5f7edb
The polling was totally rigged and people gave it the name of Nishi Rater Nirbachon or the election in the dead of night.,Lean Left,al-jazeera,1,0,b997706c-dfb9-47f7-8e53-ebd14ed574b9,f51aaf5a-ddb9-4cbc-b761-3d18629f5bb8
"Binance would have been an enormous scalp for the DoJ, which has signaled a desire-along with US regulatory agencies-to tame the wild west of the crypto industry.",Center,wired,1,0,56d8328e-a0cb-4c68-aa63-d4d9ee9e9d51,9ae705d4-d767-4e95-8c71-560993b9f6f8
"The most popular English Wikipedia page of the year was the online encyclopedia’s entry on the ChatGPS artificial intelligence program, which drew nearly 50 million pageviews, the website’s parent company stated Tuesday.",Left,new-york-daily-news,0,0,4c1f1c8c-a8b7-4192-a876-50aaa49b3cc5,5dad1c90-1d17-4bdc-9dd4-1f2e03dc5d89
The promise of belonging and community touted in our recruiting materials clashes with the reality that we are bound by our academic mission and the lack of unanimous opinion on even the most critical issues.,Lean Left,washington-monthly,1,1,d9081dd4-72eb-491d-a5b3-73ab3a729d53,a5f2b2d2-d76f-4cd8-aec0-bc6d13459266
